,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-757.95,-902874.8,0.0,0.0,
Tax Rate For Calcs,0.15,0.4,0.0,0.0,
Normalized EBITDA,-3405305.0,20469.0,-2182457.0,-176651.0,
Total Unusual Items,-5053.0,-2257187.0,465690.0,-111837.0,
Total Unusual Items Excluding Goodwill,-5053.0,-2257187.0,465690.0,-111837.0,
Net Income From Continuing Operation Net Minority Interest,-3078731.0,-4000671.0,-1068391.0,-401105.0,
Reconciled Depreciation,2082.0,354.0,527.0,780.0,
Reconciled Cost Of Revenue,2082.0,354.0,527.0,780.0,
EBITDA,-3410358.0,-2236718.0,-1716767.0,-288488.0,
EBIT,-3412440.0,-2237072.0,-1717294.0,-289268.0,
Net Interest Income,338912.0,493743.0,183213.0,0.0,
Interest Income,338912.0,493743.0,183213.0,0.0,
Normalized Income,-3074435.95,-2646358.8,-1534081.0,-289268.0,
Net Income From Continuing And Discontinued Operation,-3078731.0,-4000671.0,-1068391.0,-401105.0,
Total Expenses,3412440.0,2237072.0,1717294.0,289268.0,
Total Operating Income As Reported,-3412440.0,-2237072.0,-1717294.0,-289268.0,
Diluted Average Shares,13271750.0,13271750.0,11985877.0,12517000.0,
Basic Average Shares,13271750.0,13271750.0,11985877.0,12517000.0,
Diluted EPS,-0.23,-0.3,-0.09,-0.032045,
Basic EPS,-0.23,-0.3,-0.09,-0.032045,
Diluted NI Availto Com Stockholders,-3078731.0,-4000671.0,-1068391.0,-401105.0,
Net Income Common Stockholders,-3078731.0,-4000671.0,-1068391.0,-401105.0,
Net Income,-3078731.0,-4000671.0,-1068391.0,-401105.0,
Net Income Including Noncontrolling Interests,-3078731.0,-4000671.0,-1068391.0,-401105.0,
Net Income Continuous Operations,-3078731.0,-4000671.0,-1068391.0,-401105.0,
Tax Provision,150.0,155.0,0.0,0.0,
Pretax Income,-3078581.0,-4000516.0,-1068391.0,-401105.0,
Other Income Expense,-5053.0,-2257187.0,465690.0,-111837.0,
Special Income Charges,-4290.0,-2252786.0,0.0,0.0,
Impairment Of Capital Assets,4290.0,2252786.0,0.0,0.0,
Gain On Sale Of Security,-763.0,-4401.0,465690.0,-111837.0,
Net Non Operating Interest Income Expense,338912.0,493743.0,183213.0,0.0,
Interest Income Non Operating,338912.0,493743.0,183213.0,0.0,
Operating Income,-3412440.0,-2237072.0,-1717294.0,-289268.0,
Operating Expense,3410358.0,2236718.0,1716767.0,288488.0,
Other Operating Expenses,,,210508.0,10944.142053,2133.84987
Depreciation Amortization Depletion Income Statement,,,,980.0,576.0
Depreciation And Amortization In Income Statement,,,,980.0,576.0
Depreciation Income Statement,,,,980.0,576.0
Selling General And Administration,3410358.0,2236718.0,1716767.0,288488.0,
Selling And Marketing Expense,1119666.0,233355.0,145245.0,5146.0,
General And Administrative Expense,2290692.0,2003363.0,1571522.0,283342.0,
Other Gand A,455990.0,571223.0,530426.0,271158.0,
Insurance And Claims,291965.0,360050.0,262315.0,7397.0,
Salaries And Wages,1542737.0,1072090.0,778781.0,4787.0,
Gross Profit,-2082.0,-354.0,-527.0,-780.0,
Cost Of Revenue,2082.0,354.0,527.0,780.0,
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
