,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-226667.0,-32712.0,-662405.0,-9783180.0
Tax Rate For Calcs,0.001,0.003,0.017,0.27
Normalized EBITDA,-31616000.0,-27197000.0,-42436000.0,-71210000.0
Total Unusual Items,-226667000.0,-10904000.0,-38965000.0,-36234000.0
Total Unusual Items Excluding Goodwill,-226667000.0,-10904000.0,-38965000.0,-36234000.0
Net Income From Continuing Operation Net Minority Interest,-295547000.0,-70657000.0,-111367000.0,-123552000.0
Reconciled Depreciation,11873000.0,7901000.0,7758000.0,7262000.0
Reconciled Cost Of Revenue,113016000.0,114563000.0,112018000.0,111510000.0
EBITDA,-258283000.0,-38101000.0,-81401000.0,-107444000.0
EBIT,-270156000.0,-46002000.0,-89159000.0,-114706000.0
Net Interest Income,-25647000.0,-24877000.0,-24092000.0,-7762000.0
Interest Expense,25647000.0,24877000.0,24092000.0,7762000.0
Normalized Income,-69106667.0,-59785712.0,-73064405.0,-97101180.0
Net Income From Continuing And Discontinued Operation,-295547000.0,-70657000.0,-111367000.0,-123552000.0
Total Expenses,203919000.0,190655000.0,205186000.0,224050000.0
Total Operating Income As Reported,-133420000.0,-39034000.0,-110527000.0,-78472000.0
Diluted Average Shares,233604500.0,149234917.0,128077895.0,107436522.0
Basic Average Shares,233604500.0,149234917.0,128077895.0,107436522.0
Diluted EPS,-1.1,-0.4,-0.95,-1.15
Basic EPS,-1.1,-0.4,-0.95,-1.15
Diluted NI Availto Com Stockholders,-295547000.0,-70657000.0,-111367000.0,-123552000.0
Net Income Common Stockholders,-295547000.0,-70657000.0,-111367000.0,-123552000.0
Net Income,-295547000.0,-70657000.0,-111367000.0,-123552000.0
Net Income Including Noncontrolling Interests,-295547000.0,-70657000.0,-111367000.0,-123552000.0
Net Income Continuous Operations,-295547000.0,-70657000.0,-111367000.0,-123552000.0
Tax Provision,-256000.0,-222000.0,-1884000.0,1084000.0
Pretax Income,-295803000.0,-70879000.0,-113251000.0,-122468000.0
Other Income Expense,-224473000.0,-10511000.0,-38984000.0,-36234000.0
Other Non Operating Income Expenses,2194000.0,393000.0,-19000.0,
Special Income Charges,-119009000.0,-3543000.0,-60352000.0,-2881000.0
Other Special Charges,31272000.0,,,2881000.0
Impairment Of Capital Assets,85000000.0,0.0,53544000.0,0.0
Restructuring And Mergern Acquisition,2737000.0,3543000.0,6808000.0,0.0
Gain On Sale Of Security,-107658000.0,-7361000.0,21387000.0,-33353000.0
Net Non Operating Interest Income Expense,-25647000.0,-24877000.0,-24092000.0,-7762000.0
Interest Expense Non Operating,25647000.0,24877000.0,24092000.0,7762000.0
Operating Income,-45683000.0,-35491000.0,-50175000.0,-78472000.0
Operating Expense,90903000.0,76092000.0,93168000.0,112540000.0
Research And Development,10863000.0,5035000.0,8393000.0,6033000.0
Selling General And Administration,80040000.0,71057000.0,84775000.0,106507000.0
Gross Profit,45220000.0,40601000.0,42993000.0,34068000.0
Cost Of Revenue,113016000.0,114563000.0,112018000.0,111510000.0
Total Revenue,158236000.0,155164000.0,155011000.0,145578000.0
Operating Revenue,158236000.0,155164000.0,155011000.0,145578000.0
