,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-4270242.0,-9906007.0,-6577440.0,-1103076.0,
Total Unusual Items,51081.0,477704.0,2912267.0,297500.0,
Total Unusual Items Excluding Goodwill,51081.0,477704.0,2912267.0,297500.0,
Net Income From Continuing Operation Net Minority Interest,-4112420.0,-8948731.0,-1484620.0,-1610685.0,
Reconciled Depreciation,,,,,0.0
Reconciled Cost Of Revenue,,,0.0,0.0,0.0
EBITDA,-4219161.0,-9428303.0,-3665173.0,-805576.0,
EBIT,-4219161.0,-9428303.0,-3665173.0,-805576.0,
Net Interest Income,55660.0,1868.0,-731714.0,-805109.0,
Interest Expense,,,0.0,805109.0,998076.0
Interest Income,55660.0,1868.0,0.0,,
Normalized Income,-4163501.0,-9426435.0,-4396887.0,-1908185.0,
Net Income From Continuing And Discontinued Operation,-4112420.0,-8948731.0,-1484620.0,-1610685.0,
Total Expenses,4219161.0,9428303.0,3665173.0,1103076.0,
Total Operating Income As Reported,-4219161.0,-9428303.0,-3665173.0,-1103076.0,
Diluted Average Shares,,263137.0,47658.0,18924.0,12130.0
Basic Average Shares,,263137.0,47658.0,18924.0,12130.0
Diluted EPS,,-34.01,-31.15,-84.0,-151.2
Basic EPS,,-34.01,-31.15,-84.0,-151.2
Diluted NI Availto Com Stockholders,-7324924.0,-8948731.0,-1484620.0,-1610685.0,
Net Income Common Stockholders,-7324924.0,-8948731.0,-1484620.0,-1610685.0,
Otherunder Preferred Stock Dividend,3212504.0,0.0,,,
Net Income,-4112420.0,-8948731.0,-1484620.0,-1610685.0,
Net Income Including Noncontrolling Interests,-4112420.0,-8948731.0,-1484620.0,-1610685.0,
Net Income Continuous Operations,-4112420.0,-8948731.0,-1484620.0,-1610685.0,
Tax Provision,,,,1600.0,1600.0
Pretax Income,-4112420.0,-8948731.0,-1484620.0,-1610685.0,
Other Income Expense,51081.0,477704.0,2912267.0,297500.0,
Special Income Charges,0.0,-414989.0,0.0,297500.0,
Other Special Charges,,414989.0,,-297500.0,
Gain On Sale Of Security,51081.0,892693.0,2912267.0,,
Net Non Operating Interest Income Expense,55660.0,1868.0,-731714.0,-805109.0,
Total Other Finance Cost,,,731714.0,,
Interest Expense Non Operating,,,0.0,805109.0,998076.0
Interest Income Non Operating,55660.0,1868.0,0.0,,
Operating Income,-4219161.0,-9428303.0,-3665173.0,-1103076.0,
Operating Expense,4219161.0,9428303.0,3665173.0,1103076.0,
Research And Development,2130385.0,6907824.0,1579298.0,82044.0,
Selling General And Administration,2088776.0,2520479.0,2085875.0,1021032.0,
General And Administrative Expense,2088776.0,2520479.0,2085875.0,1021032.0,
Other Gand A,2088776.0,2520479.0,2085875.0,1021032.0,
Gross Profit,,,0.0,0.0,0.0
Cost Of Revenue,,,0.0,0.0,0.0
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
