,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-19705.0,1612590.0,0.0,0.0,
Tax Rate For Calcs,0.007,0.21,0.0,0.0,
Normalized EBITDA,2273000.0,-7245000.0,-45925000.0,-233768000.0,
Total Unusual Items,-2815000.0,7679000.0,13812000.0,9246000.0,
Total Unusual Items Excluding Goodwill,-2815000.0,7679000.0,13812000.0,9246000.0,
Net Income From Continuing Operation Net Minority Interest,-57218000.0,-53859000.0,-74879000.0,-243993000.0,
Reconciled Depreciation,44119000.0,44314000.0,37340000.0,14306000.0,
Reconciled Cost Of Revenue,26849000.0,32898000.0,34148000.0,34748000.0,
EBITDA,-542000.0,434000.0,-32113000.0,-224522000.0,
EBIT,-44661000.0,-43880000.0,-69453000.0,-238828000.0,
Net Interest Income,-10627000.0,-8981000.0,-4310000.0,-52883000.0,
Interest Expense,12187000.0,9306000.0,5426000.0,5165000.0,
Interest Income,1560000.0,2063000.0,1116000.0,0.0,
Normalized Income,-54422705.0,-59925410.0,-88691000.0,-253239000.0,
Net Income From Continuing And Discontinued Operation,-57218000.0,-53859000.0,-74172000.0,-245643000.0,
Total Expenses,146381000.0,150472000.0,151899000.0,135821000.0,
Rent Expense Supplemental,1852000.0,1762000.0,2821000.0,1958000.0,
Total Operating Income As Reported,-44288000.0,-55980000.0,-86549000.0,-120143000.0,
Diluted Average Shares,21443000.0,16931375.0,14727625.0,14306500.0,
Basic Average Shares,21443000.0,16931375.0,14727625.0,14306500.0,
Diluted EPS,-2.67,-3.2,-5.04,-27.12,
Basic EPS,-2.67,-3.2,-5.04,-27.12,
Diluted NI Availto Com Stockholders,-57218000.0,-53859000.0,-74172000.0,-245643000.0,
Net Income Common Stockholders,-57218000.0,-53859000.0,-74172000.0,-245643000.0,
Net Income,-57218000.0,-53859000.0,-74172000.0,-245643000.0,
Net Income Including Noncontrolling Interests,-57218000.0,-53859000.0,-74172000.0,-245643000.0,
Net Income Discontinuous Operations,,0.0,707000.0,-1650000.0,28185000.0
Net Income Continuous Operations,-57218000.0,-53859000.0,-74879000.0,-243993000.0,
Tax Provision,370000.0,673000.0,0.0,0.0,
Pretax Income,-56848000.0,-53186000.0,-74879000.0,-243993000.0,
Other Income Expense,-1933000.0,11775000.0,15980000.0,-89374000.0,
Other Non Operating Income Expenses,3000.0,-69000.0,81000.0,-99647000.0,
Special Income Charges,,0.0,2000000.0,-14348000.0,284000.0
Other Special Charges,,,,-4059000.0,-284000.0
Write Off,,,,18407000.0,0.0
Impairment Of Capital Assets,,,0.0,18407000.0,
Restructuring And Mergern Acquisition,,0.0,-2000000.0,0.0,
Earnings From Equity Interest,879000.0,4165000.0,2087000.0,1027000.0,
Gain On Sale Of Security,-2815000.0,7679000.0,11812000.0,23594000.0,
Net Non Operating Interest Income Expense,-10627000.0,-8981000.0,-4310000.0,-52883000.0,
Total Other Finance Cost,,1738000.0,,47718000.0,
Interest Expense Non Operating,12187000.0,9306000.0,5426000.0,5165000.0,
Interest Income Non Operating,1560000.0,2063000.0,1116000.0,0.0,
Operating Income,-44288000.0,-55980000.0,-86549000.0,-101736000.0,
Operating Expense,118949000.0,116691000.0,116072000.0,101073000.0,
Depreciation Amortization Depletion Income Statement,43536000.0,43431000.0,35661000.0,14306000.0,
Depreciation And Amortization In Income Statement,43536000.0,43431000.0,35661000.0,14306000.0,
Amortization,611000.0,561000.0,561000.0,1358000.0,
Amortization Of Intangibles Income Statement,611000.0,561000.0,561000.0,1358000.0,
Depreciation Income Statement,42925000.0,42870000.0,35100000.0,12948000.0,
Research And Development,2298000.0,1680000.0,1565000.0,1531000.0,
Selling General And Administration,73115000.0,71580000.0,78846000.0,85236000.0,
Selling And Marketing Expense,3783000.0,3789000.0,5553000.0,3817000.0,
General And Administrative Expense,69332000.0,67791000.0,73293000.0,81419000.0,
Other Gand A,13275000.0,12436000.0,11372000.0,11884000.0,
Insurance And Claims,1937000.0,2755000.0,4452000.0,1804000.0,
Rent And Landing Fees,1852000.0,1762000.0,2821000.0,1958000.0,
Salaries And Wages,52268000.0,50838000.0,54648000.0,65773000.0,
Gross Profit,74661000.0,60711000.0,29523000.0,-663000.0,
Cost Of Revenue,27432000.0,33781000.0,35827000.0,34748000.0,
Total Revenue,102093000.0,94492000.0,65350000.0,34085000.0,
Operating Revenue,102093000.0,94492000.0,65350000.0,34085000.0,
