,2024-08-31,2023-08-31,2022-08-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-1774442.0,-1791930.0,-1699523.0
Total Unusual Items,-325941.0,-104791.0,-11535.0
Total Unusual Items Excluding Goodwill,-325941.0,-104791.0,-11535.0
Net Income From Continuing Operation Net Minority Interest,-3292503.0,-2464884.0,-2005233.0
Reconciled Depreciation,923545.0,470705.0,3125.0
Reconciled Cost Of Revenue,2549321.0,422808.0,553574.0
EBITDA,-2100383.0,-1896721.0,-1711058.0
EBIT,-3023928.0,-2367426.0,-1714183.0
Net Interest Income,-213961.0,-68740.0,-291049.0
Interest Expense,268578.0,97460.0,291049.0
Interest Income,54617.0,28720.0,0.0
Normalized Income,-2966562.0,-2360093.0,-1993698.0
Net Income From Continuing And Discontinued Operation,-3292503.0,-2464884.0,-2005233.0
Total Expenses,5751639.0,2953571.0,2130317.0
Total Operating Income As Reported,-2447485.0,-2413083.0,-1714184.0
Diluted Average Shares,2493930.0,2452798.0,2155384.0
Basic Average Shares,2493930.0,2452798.0,2155384.0
Diluted EPS,-1.4,-1.0,-1.0
Basic EPS,-1.4,-1.0,-1.0
Diluted NI Availto Com Stockholders,-3292503.0,-2464884.0,-2005233.0
Net Income Common Stockholders,-3292503.0,-2464884.0,-2005233.0
Net Income,-3292503.0,-2464884.0,-2005233.0
Net Income Including Noncontrolling Interests,-3292506.0,-2464886.0,-2005232.0
Net Income Continuous Operations,-3292506.0,-2464886.0,-2005232.0
Pretax Income,-3292506.0,-2464886.0,-2005232.0
Other Income Expense,-637254.0,-87852.0,-11535.0
Other Non Operating Income Expenses,,16939.0,
Special Income Charges,-325941.0,-104791.0,-11535.0
Gain On Sale Of Ppe,113803.0,21682.0,0.0
Other Special Charges,319744.0,,
Write Off,,3523.0,11535.0
Impairment Of Capital Assets,120000.0,126473.0,11535.0
Earnings From Equity Interest,-311313.0,0.0,
Gain On Sale Of Security,-311313.0,21682.0,
Net Non Operating Interest Income Expense,-213961.0,-68740.0,-291049.0
Interest Expense Non Operating,268578.0,97460.0,291049.0
Interest Income Non Operating,54617.0,28720.0,0.0
Operating Income,-2441291.0,-2308294.0,-1702648.0
Operating Expense,3202318.0,2530763.0,1573618.0
Other Operating Expenses,1047042.0,985537.0,489096.0
Depreciation Amortization Depletion Income Statement,923545.0,470705.0,0.0
Depreciation And Amortization In Income Statement,923545.0,470705.0,0.0
Depreciation Income Statement,923545.0,470705.0,0.0
Selling General And Administration,1231731.0,1074521.0,1084522.0
Selling And Marketing Expense,0.0,214550.0,
General And Administrative Expense,1231731.0,859971.0,1084522.0
Other Gand A,779484.0,501331.0,1084522.0
Salaries And Wages,452247.0,358640.0,
Gross Profit,761027.0,222469.0,-129030.0
Cost Of Revenue,2549321.0,422808.0,556699.0
Total Revenue,3310348.0,645278.0,427669.0
Operating Revenue,3310348.0,645278.0,427669.0
