,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-15017979.0,-15238997.0,6553660.0,-17121114.0,
Total Unusual Items,6862247.0,11531379.0,-11203367.0,3127269.0,
Total Unusual Items Excluding Goodwill,6862247.0,11531379.0,-11203367.0,3127269.0,
Net Income From Continuing Operation Net Minority Interest,-1271174.0,7818728.0,-15857113.0,-16049583.0,
Reconciled Depreciation,5689.0,5033.0,4039.0,939.0,
Reconciled Cost Of Revenue,3127509.0,359778.0,426440.0,268346.0,
EBITDA,-8155732.0,-3707618.0,-4649707.0,-13993845.0,
EBIT,-8161421.0,-3712651.0,-4653746.0,-13994784.0,
Net Interest Income,,,0.0,-2054799.0,-402663.0
Interest Expense,,,0.0,2054799.0,402663.0
Normalized Income,-8133421.0,-3712651.0,-4653746.0,-19176852.0,
Net Income From Continuing And Discontinued Operation,-1271174.0,7818728.0,-15857113.0,-16049583.0,
Total Expenses,12234939.0,5052279.0,6346200.0,18335337.0,
Diluted Average Shares,,17546339.0,12732914.0,6840665.0,2983425.0
Basic Average Shares,,14092233.0,12732914.0,6840665.0,2983425.0
Diluted EPS,,0.45,-1.25,-3.09,-0.86
Basic EPS,,0.55,-1.25,-3.09,-0.86
Diluted NI Availto Com Stockholders,-1271174.0,7818728.0,-15892738.0,-21116007.0,
Net Income Common Stockholders,-1271174.0,7818728.0,-15892738.0,-21116007.0,
Otherunder Preferred Stock Dividend,,0.0,35625.0,0.0,0.0
Preferred Stock Dividends,,,,5066424.0,
Net Income,-1271174.0,7818728.0,-15857113.0,-16049583.0,
Net Income Including Noncontrolling Interests,-1271174.0,7818728.0,-15857113.0,-16049583.0,
Net Income Continuous Operations,-1271174.0,7818728.0,-15857113.0,-16049583.0,
Pretax Income,-1271174.0,7818728.0,-15857113.0,-16049583.0,
Other Income Expense,6890247.0,11531379.0,-11203367.0,3127269.0,
Other Non Operating Income Expenses,28000.0,,,,
Special Income Charges,,0.0,-13348874.0,-3845899.0,-165331.0
Write Off,,0.0,13348874.0,3845899.0,165331.0
Impairment Of Capital Assets,,,,3845899.0,165331.0
Gain On Sale Of Security,6862247.0,11531379.0,2145507.0,6973168.0,
Net Non Operating Interest Income Expense,,,0.0,-2054799.0,-402663.0
Interest Expense Non Operating,,,0.0,2054799.0,402663.0
Operating Income,-8161421.0,-3712651.0,-4653746.0,-17122053.0,
Operating Expense,9107430.0,4692501.0,5919760.0,18066991.0,
Research And Development,755813.0,687288.0,611758.0,712736.0,
Selling General And Administration,8351617.0,4005213.0,5308002.0,17354255.0,
Selling And Marketing Expense,80993.0,12153.0,78171.0,180290.0,
General And Administrative Expense,8270624.0,3993060.0,5229831.0,17173965.0,
Other Gand A,1672276.0,1450724.0,1916193.0,1590707.0,
Salaries And Wages,6598348.0,2542336.0,3313638.0,15583258.0,
Gross Profit,946009.0,979850.0,1266014.0,944938.0,
Cost Of Revenue,3127509.0,359778.0,426440.0,268346.0,
Total Revenue,4073518.0,1339628.0,1692454.0,1213284.0,
Operating Revenue,4073518.0,1339628.0,1692454.0,1213284.0,
