,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.21,0.21,0.0,
Normalized EBITDA,-175869000.0,-26942000.0,-33360000.0,-42255000.0,
Net Income From Continuing Operation Net Minority Interest,-170291000.0,-25080000.0,-33584000.0,-42467000.0,
Reconciled Depreciation,233000.0,118000.0,143000.0,-1230000.0,
Reconciled Cost Of Revenue,,1523000.0,0.0,,
EBITDA,-175869000.0,-26942000.0,-33360000.0,-42255000.0,
EBIT,-176102000.0,-27060000.0,-33503000.0,-42255000.0,
Net Interest Income,5811000.0,1995000.0,191000.0,-212000.0,
Interest Income,5811000.0,1995000.0,191000.0,,
Normalized Income,-170291000.0,-25080000.0,-33584000.0,-42467000.0,
Net Income From Continuing And Discontinued Operation,-169827000.0,-22931000.0,-33584000.0,-42467000.0,
Total Expenses,177377000.0,50343000.0,97951000.0,91827000.0,
Total Operating Income As Reported,-176102000.0,-27060000.0,-33503000.0,-42255000.0,
Diluted Average Shares,6349631.0,4371375.0,3492884.0,2622672.0,
Basic Average Shares,6349631.0,4371375.0,3492884.0,2622672.0,
Diluted EPS,-26.75,-5.25,-8.6,-16.2,
Basic EPS,-26.75,-5.25,-8.6,-16.2,
Diluted NI Availto Com Stockholders,-169827000.0,-22931000.0,-33584000.0,-42467000.0,
Net Income Common Stockholders,-169827000.0,-22931000.0,-33584000.0,-42467000.0,
Preferred Stock Dividends,,,,,2762000.0
Net Income,-169827000.0,-22931000.0,-33584000.0,-42467000.0,
Net Income Including Noncontrolling Interests,-169827000.0,-22931000.0,-33584000.0,-42467000.0,
Net Income Discontinuous Operations,464000.0,2149000.0,,,
Net Income Continuous Operations,-170291000.0,-25080000.0,-33584000.0,-42467000.0,
Tax Provision,0.0,15000.0,272000.0,0.0,
Pretax Income,-170291000.0,-25065000.0,-33312000.0,-42467000.0,
Net Non Operating Interest Income Expense,5811000.0,1995000.0,191000.0,-212000.0,
Total Other Finance Cost,,,-191000.0,212000.0,262000.0
Interest Income Non Operating,5811000.0,1995000.0,191000.0,,
Operating Income,-176102000.0,-27060000.0,-33503000.0,-42255000.0,
Operating Expense,177377000.0,50343000.0,97951000.0,91827000.0,
Research And Development,156762000.0,36763000.0,77405000.0,73087000.0,
Selling General And Administration,20615000.0,13580000.0,20546000.0,18740000.0,
General And Administrative Expense,20615000.0,13580000.0,20546000.0,18740000.0,
Other Gand A,20615000.0,13580000.0,20546000.0,18740000.0,
Gross Profit,,62382000.0,64448000.0,,
Cost Of Revenue,,1523000.0,0.0,,
Total Revenue,1275000.0,23283000.0,64448000.0,49572000.0,
Operating Revenue,1275000.0,23283000.0,64448000.0,49572000.0,
