,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.17,0.17,0.17,0.17,
Normalized EBITDA,-26836668.0,-1900574.0,-3014726.0,5390345.0,
Net Income From Continuing Operation Net Minority Interest,-39475321.0,-15306550.0,-16678135.0,-14849199.0,
Reconciled Depreciation,2896577.0,3991179.0,4397093.0,5982593.0,
Reconciled Cost Of Revenue,31843467.0,35899056.0,39880947.0,39604341.0,
EBITDA,-26836668.0,-1900574.0,-3014726.0,5390345.0,
EBIT,-29733245.0,-5891753.0,-7411819.0,-592248.0,
Net Interest Income,-8515214.0,-8002552.0,-8200112.0,-11539349.0,
Interest Expense,8515214.0,8002552.0,8200112.0,11539349.0,
Normalized Income,-39475321.0,-15306550.0,-16678135.0,-14849199.0,
Net Income From Continuing And Discontinued Operation,-39475321.0,-15306550.0,-16678135.0,-14849199.0,
Total Expenses,73811171.0,59901145.0,65515588.0,57461648.0,
Total Operating Income As Reported,-27375759.0,-6645785.0,-10014671.0,39722.0,
Diluted Average Shares,,33980753.0,33980753.0,33980753.0,33980753.0
Basic Average Shares,,33980753.0,33980753.0,33980753.0,33980753.0
Diluted EPS,,-0.45,-0.490811,-0.436989,-0.197889
Basic EPS,,-0.45,-0.490811,-0.436989,-0.197889
Diluted NI Availto Com Stockholders,-39475321.0,-15306550.0,-16678135.0,-14849199.0,
Net Income Common Stockholders,-39475321.0,-15306550.0,-16678135.0,-14849199.0,
Net Income,-39475321.0,-15306550.0,-16678135.0,-14849199.0,
Minority Interests,-648559.0,-888764.0,-952422.0,-1963899.0,
Net Income Including Noncontrolling Interests,-38826762.0,-14417786.0,-15725713.0,-12885300.0,
Net Income Continuous Operations,-38826762.0,-14417786.0,-15725713.0,-12885300.0,
Tax Provision,578303.0,523481.0,113782.0,753703.0,
Pretax Income,-38248459.0,-13894305.0,-15611931.0,-12131597.0,
Other Income Expense,-2357486.0,754032.0,2602852.0,-631970.0,
Other Non Operating Income Expenses,-2357486.0,754032.0,2602852.0,-631970.0,
Net Non Operating Interest Income Expense,-8515214.0,-8002552.0,-8200112.0,-11539349.0,
Interest Expense Non Operating,8515214.0,8002552.0,8200112.0,11539349.0,
Operating Income,-27375759.0,-6645785.0,-10014671.0,39722.0,
Operating Expense,41967704.0,24002089.0,25634641.0,17857307.0,
Selling General And Administration,41967704.0,24002089.0,25634641.0,17857307.0,
Selling And Marketing Expense,13408.0,25880.0,95174.0,112892.0,
General And Administrative Expense,41954296.0,23976209.0,25539467.0,17744415.0,
Other Gand A,41954296.0,23976209.0,25539467.0,17744415.0,
Gross Profit,14591945.0,17356304.0,15619970.0,17897029.0,
Cost Of Revenue,31843467.0,35899056.0,39880947.0,39604341.0,
Total Revenue,46435412.0,53255361.0,55500917.0,57501370.0,
Operating Revenue,46313004.0,53093903.0,55215303.0,57182054.0,
