,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,-33600.0,-70470.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.27,
Normalized EBITDA,-5451000.0,-6514000.0,-5958000.0,-5362000.0,
Total Unusual Items,,0.0,-160000.0,-261000.0,-653000.0
Total Unusual Items Excluding Goodwill,,0.0,-160000.0,-261000.0,-653000.0
Net Income From Continuing Operation Net Minority Interest,131000.0,-7112000.0,-9786000.0,-467000.0,
Reconciled Depreciation,1607000.0,1520000.0,2709000.0,4066000.0,
Reconciled Cost Of Revenue,66919000.0,76801000.0,89673000.0,90919000.0,
EBITDA,-5451000.0,-6514000.0,-6118000.0,-5623000.0,
EBIT,-7058000.0,-8034000.0,-8827000.0,-9689000.0,
Net Interest Income,164000.0,401000.0,,,
Interest Income,164000.0,401000.0,,,
Normalized Income,131000.0,-7112000.0,-9659600.0,-276470.0,
Net Income From Continuing And Discontinued Operation,131000.0,-7112000.0,-9786000.0,-467000.0,
Total Expenses,132449000.0,147730000.0,159478000.0,164063000.0,
Total Operating Income As Reported,-7058000.0,-8070000.0,-8987000.0,-9950000.0,
Diluted Average Shares,5352490.0,5352490.0,5352490.0,5352490.0,
Basic Average Shares,5352490.0,5352490.0,5352490.0,5352490.0,
Diluted EPS,0.02,-1.33,-1.83,-0.09,
Basic EPS,0.02,-1.33,-1.83,-0.09,
Diluted NI Availto Com Stockholders,131000.0,-7112000.0,-9786000.0,-467000.0,
Net Income Common Stockholders,131000.0,-7112000.0,-9786000.0,-467000.0,
Net Income,131000.0,-7112000.0,-9786000.0,-467000.0,
Net Income Including Noncontrolling Interests,131000.0,-7112000.0,-9786000.0,-467000.0,
Net Income Continuous Operations,131000.0,-7112000.0,-9786000.0,-467000.0,
Tax Provision,-4956000.0,464000.0,558000.0,-2151000.0,
Pretax Income,-4825000.0,-6648000.0,-9228000.0,-2618000.0,
Other Income Expense,2069000.0,985000.0,-401000.0,7071000.0,
Other Non Operating Income Expenses,2069000.0,985000.0,-241000.0,7332000.0,
Special Income Charges,,0.0,-160000.0,-261000.0,-653000.0
Gain On Sale Of Ppe,,0.0,-58000.0,-29000.0,-90000.0
Impairment Of Capital Assets,,0.0,102000.0,232000.0,563000.0
Net Non Operating Interest Income Expense,164000.0,401000.0,,,
Interest Income Non Operating,164000.0,401000.0,,,
Operating Income,-7058000.0,-8034000.0,-8827000.0,-9689000.0,
Operating Expense,65530000.0,70929000.0,69805000.0,73144000.0,
Other Operating Expenses,,-36000.0,,,
Depreciation Amortization Depletion Income Statement,1607000.0,1520000.0,2709000.0,4066000.0,
Depreciation And Amortization In Income Statement,1607000.0,1520000.0,2709000.0,4066000.0,
Amortization,,,0.0,64000.0,255000.0
Amortization Of Intangibles Income Statement,,,0.0,64000.0,255000.0
Depreciation Income Statement,1607000.0,1520000.0,2709000.0,4002000.0,
Selling General And Administration,63923000.0,69445000.0,67096000.0,69078000.0,
General And Administrative Expense,63923000.0,69445000.0,67096000.0,69078000.0,
Salaries And Wages,63923000.0,69445000.0,67096000.0,69078000.0,
Gross Profit,58472000.0,62895000.0,60978000.0,63455000.0,
Cost Of Revenue,66919000.0,76801000.0,89673000.0,90919000.0,
Total Revenue,125391000.0,139696000.0,150651000.0,154374000.0,
Operating Revenue,125391000.0,139696000.0,150651000.0,154374000.0,
