,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-6696565.0,-10272330.0,-24098160.0,-25530697.0,
Total Unusual Items,,430437.0,5756787.0,-2319746.0,2447908.0
Total Unusual Items Excluding Goodwill,,430437.0,5756787.0,-2319746.0,2447908.0
Net Income From Continuing Operation Net Minority Interest,-7986935.0,-10613074.0,-24172292.0,-29083711.0,
Reconciled Depreciation,,,0.0,151.0,201.0
EBITDA,-6696565.0,-10272330.0,-24098160.0,-27850443.0,
EBIT,-6696565.0,-10272330.0,-24098160.0,-27850594.0,
Net Interest Income,-1290444.0,-353945.0,-4984636.0,-5080868.0,
Interest Expense,1290444.0,353945.0,109525.0,1295307.0,
Normalized Income,-7986935.0,-10613074.0,-24172292.0,-26763965.0,
Net Income From Continuing And Discontinued Operation,-7986935.0,-10613074.0,-24172292.0,-29083711.0,
Total Expenses,6730134.0,10718187.0,24222095.0,19870431.0,
Total Operating Income As Reported,-6730134.0,-10718187.0,-24222095.0,-19870431.0,
Diluted Average Shares,697686.0,150937.0,35633.0,5609.0,
Basic Average Shares,697686.0,150937.0,35633.0,5609.0,
Diluted EPS,-11.45,-70.4,-2091.6,-5327.999999,
Basic EPS,-11.45,-70.4,-2091.6,-5327.999999,
Diluted NI Availto Com Stockholders,-7987225.0,-10626011.0,-25085496.0,-29886851.0,
Net Income Common Stockholders,-7987225.0,-10626011.0,-25085496.0,-29886851.0,
Otherunder Preferred Stock Dividend,290.0,12937.0,913204.0,803140.0,
Net Income,-7986935.0,-10613074.0,-24172292.0,-29083711.0,
Minority Interests,74.0,13201.0,35393.0,62190.0,
Net Income Including Noncontrolling Interests,-7987009.0,-10626275.0,-24207685.0,-29145901.0,
Net Income Continuous Operations,-7987009.0,-10626275.0,-24207685.0,-29145901.0,
Pretax Income,-7987009.0,-10626275.0,-24207685.0,-29145901.0,
Other Income Expense,33569.0,445857.0,4999046.0,-4194602.0,
Other Non Operating Income Expenses,33569.0,445857.0,4999046.0,-1874856.0,
Special Income Charges,,146479.0,1792154.0,-154391.0,
Other Special Charges,,-146479.0,-1792154.0,154391.0,
Gain On Sale Of Security,,283958.0,5756787.0,-2319746.0,2447908.0
Net Non Operating Interest Income Expense,-1290444.0,-353945.0,-4984636.0,-5080868.0,
Total Other Finance Cost,,,4875111.0,3785561.0,
Interest Expense Non Operating,1290444.0,353945.0,109525.0,1295307.0,
Operating Income,-6730134.0,-10718187.0,-24222095.0,-19870431.0,
Operating Expense,6730134.0,10718187.0,24222095.0,19870431.0,
Other Operating Expenses,-5210031.0,-2230520.0,-2523383.0,-3531199.0,
Research And Development,7219437.0,7587473.0,19835875.0,4690082.0,
Selling General And Administration,4720728.0,5361234.0,6909603.0,18711548.0,
General And Administrative Expense,4720728.0,5361234.0,6909603.0,18711548.0,
Other Gand A,4720728.0,5361234.0,6909603.0,18711548.0,
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
