,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.308444,0.21,0.21,0.27,
Normalized EBITDA,-1327000.0,-1044000.0,-1032000.0,-469000.0,
Net Income From Continuing Operation Net Minority Interest,778000.0,1373000.0,-186000.0,-469000.0,
EBITDA,-1327000.0,-1044000.0,-1032000.0,-469000.0,
EBIT,-1327000.0,-1044000.0,-1032000.0,-469000.0,
Net Interest Income,2452000.0,2261000.0,646000.0,,
Interest Income,2452000.0,2261000.0,646000.0,,
Normalized Income,778000.0,1373000.0,-186000.0,-469000.0,
Net Income From Continuing And Discontinued Operation,778000.0,1373000.0,-186000.0,-469000.0,
Total Expenses,1353000.0,1044000.0,1058000.0,1170000.0,
Total Operating Income As Reported,-1327000.0,-1044000.0,-1032000.0,-469000.0,
Diluted Average Shares,74215000.0,74215000.0,74215000.0,74215000.0,
Basic Average Shares,74215000.0,74215000.0,74215000.0,74215000.0,
Diluted EPS,-0.01,0.0,-0.02,-0.03,
Basic EPS,-0.01,0.0,-0.02,-0.03,
Diluted NI Availto Com Stockholders,-497000.0,98000.0,-1461000.0,-2492000.0,
Net Income Common Stockholders,-497000.0,98000.0,-1461000.0,-2492000.0,
Preferred Stock Dividends,1275000.0,1275000.0,1275000.0,2023000.0,
Net Income,778000.0,1373000.0,-186000.0,-469000.0,
Net Income Including Noncontrolling Interests,778000.0,1373000.0,-186000.0,-469000.0,
Net Income Continuous Operations,778000.0,1373000.0,-186000.0,-469000.0,
Tax Provision,347000.0,-156000.0,-200000.0,7000.0,
Pretax Income,1125000.0,1217000.0,-386000.0,-462000.0,
Other Income Expense,,,646000.0,7000.0,1000.0
Other Non Operating Income Expenses,,,646000.0,7000.0,1000.0
Net Non Operating Interest Income Expense,2452000.0,2261000.0,646000.0,,
Interest Income Non Operating,2452000.0,2261000.0,646000.0,,
Operating Income,-1327000.0,-1044000.0,-1032000.0,-469000.0,
Operating Expense,1353000.0,1044000.0,1058000.0,1170000.0,
Selling General And Administration,1353000.0,1044000.0,1058000.0,1170000.0,
General And Administrative Expense,1353000.0,1044000.0,1058000.0,1170000.0,
Other Gand A,1353000.0,1044000.0,1058000.0,1170000.0,
Total Revenue,26000.0,0.0,26000.0,701000.0,
Operating Revenue,26000.0,0.0,26000.0,701000.0,
