,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-882084.0,-2151303.0,-4997018.0,-9617118.0,
Total Unusual Items,-3894034.0,154561.0,226063.0,-2764403.0,
Total Unusual Items Excluding Goodwill,-3894034.0,154561.0,226063.0,-2764403.0,
Net Income From Continuing Operation Net Minority Interest,-4783651.0,-1729607.0,-5057835.0,-12656620.0,
Reconciled Depreciation,6352.0,9183.0,424205.0,117101.0,
Reconciled Cost Of Revenue,0.0,0.0,0.0,559419.0,
EBITDA,-4776118.0,-1996742.0,-4770955.0,-12381521.0,
EBIT,-4782470.0,-2005925.0,-5195160.0,-12498622.0,
Net Interest Income,-1181.0,32.0,-8931.0,-2022323.0,
Interest Expense,1181.0,,8931.0,266039.0,42340.0
Interest Income,,32.0,,,
Normalized Income,-889617.0,-1884168.0,-5283898.0,-9892217.0,
Net Income From Continuing And Discontinued Operation,-6171969.0,-9285910.0,-6240247.0,-12656620.0,
Total Expenses,888363.0,2005925.0,5849712.0,8482643.0,
Rent Expense Supplemental,,,255357.0,144138.0,0.0
Total Operating Income As Reported,-888363.0,-2005925.0,-5421525.0,-20453973.0,
Diluted Average Shares,2640429.0,2525171.0,2640429.0,2640429.0,
Basic Average Shares,2640429.0,2525171.0,2640429.0,2640429.0,
Diluted EPS,-2.34,-3.68,-2.691156,-4.793395,
Basic EPS,-2.34,-3.68,-2.691156,-4.793395,
Diluted NI Availto Com Stockholders,-6171969.0,-9285910.0,-6240247.0,-12656620.0,
Net Income Common Stockholders,-6171969.0,-9285910.0,-6240247.0,-12656620.0,
Net Income,-6171969.0,-9285910.0,-6240247.0,-12656620.0,
Minority Interests,0.0,121725.0,146256.0,108042.0,
Net Income Including Noncontrolling Interests,-6171969.0,-9407635.0,-6386503.0,-12764661.0,
Net Income Discontinuous Operations,-1388318.0,-7556303.0,-1182412.0,,
Net Income Continuous Operations,-4783651.0,-1851332.0,-5204091.0,-12764661.0,
Tax Provision,0.0,0.0,0.0,,
Pretax Income,-4783651.0,-1851332.0,-5204091.0,-12764661.0,
Other Income Expense,-3894107.0,154561.0,226365.0,-2739919.0,
Other Non Operating Income Expenses,-73.0,-56058.0,302.0,24484.0,
Special Income Charges,-3897651.0,0.0,232207.0,-2800533.0,
Gain On Sale Of Ppe,-23937.0,0.0,,,
Gain On Sale Of Business,12400373.0,0.0,0.0,,
Other Special Charges,,,-232207.0,-9428664.0,
Write Off,16179823.0,0.0,0.0,,
Impairment Of Capital Assets,94264.0,0.0,0.0,12451554.0,
Restructuring And Mergern Acquisition,,,0.0,-222357.0,0.0
Gain On Sale Of Security,3617.0,154561.0,-6144.0,36130.0,
Net Non Operating Interest Income Expense,-1181.0,32.0,-8931.0,-2022323.0,
Total Other Finance Cost,,,,1756284.0,
Interest Expense Non Operating,1181.0,,8931.0,266039.0,42340.0
Interest Income Non Operating,,32.0,,,
Operating Income,-888363.0,-2005925.0,-5421525.0,-8002419.0,
Operating Expense,888363.0,2005925.0,5849712.0,7923224.0,
Other Operating Expenses,,,536675.0,1058234.0,140919.0
Depreciation Amortization Depletion Income Statement,,,215111.0,117101.0,19880.0
Depreciation And Amortization In Income Statement,,,215111.0,117101.0,19880.0
Research And Development,,309941.0,114476.0,561218.0,0.0
Selling General And Administration,888363.0,2005925.0,5735236.0,6186671.0,
Selling And Marketing Expense,1489006.0,10483401.0,300381.0,542671.0,
General And Administrative Expense,-600643.0,-8477476.0,5434855.0,5644000.0,
Other Gand A,-600643.0,-8477476.0,5434855.0,5499862.0,
Rent And Landing Fees,,,255357.0,144138.0,0.0
Salaries And Wages,,,3701748.0,2680856.0,
Gross Profit,0.0,0.0,428187.0,-79195.0,
Cost Of Revenue,0.0,0.0,0.0,559419.0,
Total Revenue,0.0,0.0,428187.0,480224.0,
Operating Revenue,0.0,0.0,428187.0,480224.0,
