,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-391923.177786,2760969.017498,-795850.994879,-4636.557042,
Tax Rate For Calcs,0.082821,0.158866,0.018637,0.027902,
Normalized EBITDA,-19248096.0,-17158464.0,-10677065.0,-2427397.0,
Total Unusual Items,-4732146.0,17379224.0,-42703474.0,-166174.0,
Total Unusual Items Excluding Goodwill,-4732146.0,17379224.0,-42703474.0,-166174.0,
Net Income From Continuing Operation Net Minority Interest,-24882076.0,-5657143.0,-55800418.0,-4315239.0,
Reconciled Depreciation,2058527.0,3271051.0,2350640.0,1574913.0,
Reconciled Cost Of Revenue,4740636.0,10551122.0,8386100.0,4001297.0,
EBITDA,-23980242.0,220760.0,-53380539.0,-2593571.0,
EBIT,-26038769.0,-3050291.0,-55731179.0,-4168484.0,
Net Interest Income,-1146440.0,-3694513.0,-1312476.0,-449566.0,
Interest Expense,1153125.0,3739617.0,1338856.0,449566.0,
Interest Income,6685.0,45104.0,26380.0,,55649.0
Normalized Income,-20541853.177786,-20275397.982502,-13892794.994879,-4153701.557042,
Net Income From Continuing And Discontinued Operation,-24882076.0,-5657143.0,-55800418.0,-4315239.0,
Total Expenses,29237799.0,43654591.0,31666138.0,12297114.0,
Rent Expense Supplemental,349918.0,401307.0,351730.0,250994.0,
Total Operating Income As Reported,-30108322.0,-36067335.0,-42337799.0,-4168484.0,
Diluted Average Shares,,5550197.0,2263436.0,2151978.0,2151978.0
Basic Average Shares,,5550197.0,2263436.0,2151978.0,2151978.0
Diluted EPS,,-1.03,-24.65,-2.005243,-1.448507
Basic EPS,,-1.03,-24.65,-2.005243,-1.448507
Diluted NI Availto Com Stockholders,-24882076.0,-5657143.0,-55800418.0,-4315239.0,
Net Income Common Stockholders,-24882076.0,-5657143.0,-55800418.0,-4315239.0,
Net Income,-24882076.0,-5657143.0,-55800418.0,-4315239.0,
Minority Interests,57746.0,54079.0,206021.0,173959.0,
Net Income Including Noncontrolling Interests,-24939822.0,-5711222.0,-56006439.0,-4489198.0,
Net Income Continuous Operations,-24939822.0,-5711222.0,-56006439.0,-4489198.0,
Tax Provision,-2252072.0,-1078686.0,-1063596.0,-128852.0,
Pretax Income,-27191894.0,-6789908.0,-57070035.0,-4618050.0,
Other Income Expense,-4720373.0,17496442.0,-42285037.0,-166174.0,
Other Non Operating Income Expenses,11773.0,117218.0,418437.0,,411763.0
Special Income Charges,-4797255.0,17754631.0,-42084207.0,0.0,
Gain On Sale Of Ppe,-946204.0,42917.0,0.0,,
Other Special Charges,-6633.0,-308763.0,,,
Write Off,2791299.0,0.0,0.0,,
Impairment Of Capital Assets,4780385.0,15371643.0,28246010.0,0.0,
Restructuring And Mergern Acquisition,-3714000.0,-32774594.0,13838197.0,0.0,
Gain On Sale Of Security,65109.0,-375407.0,-619267.0,-166174.0,
Net Non Operating Interest Income Expense,-1146440.0,-3694513.0,-1312476.0,-449566.0,
Interest Expense Non Operating,1153125.0,3739617.0,1338856.0,449566.0,
Interest Income Non Operating,6685.0,45104.0,26380.0,,55649.0
Operating Income,-21325081.0,-20591837.0,-13472522.0,-4002310.0,
Operating Expense,23907748.0,32528159.0,22111811.0,6759768.0,
Other Operating Expenses,5516.0,364811.0,160542.0,-479156.0,
Provision For Doubtful Accounts,-575384.0,2821611.0,1509486.0,-39108.0,
Depreciation Amortization Depletion Income Statement,1469112.0,2695741.0,1182413.0,38864.0,
Depreciation And Amortization In Income Statement,1469112.0,2695741.0,1182413.0,38864.0,
Research And Development,811583.0,879438.0,847068.0,456180.0,
Selling General And Administration,22196921.0,25766558.0,18412302.0,6782988.0,
Selling And Marketing Expense,1427727.0,2844825.0,1917377.0,73277.0,
General And Administrative Expense,20769194.0,22921733.0,16494925.0,6709711.0,
Other Gand A,7274764.0,10050305.0,5211345.0,1967483.0,
Insurance And Claims,1013482.0,1337151.0,713481.0,,
Rent And Landing Fees,349918.0,401307.0,351730.0,250994.0,
Salaries And Wages,12131030.0,11132970.0,10218369.0,4491234.0,
Gross Profit,2582667.0,11936322.0,8639289.0,2757458.0,
Cost Of Revenue,5330051.0,11126432.0,9554327.0,5537346.0,
Total Revenue,7912718.0,23062754.0,18193616.0,8294804.0,
Operating Revenue,7912718.0,23062754.0,18193616.0,8294804.0,
