,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-36238456.0,-24106037.0,-26323669.0,-12632421.0,
Total Unusual Items,-9967097.0,0.0,0.0,463353.0,
Total Unusual Items Excluding Goodwill,-9967097.0,0.0,0.0,463353.0,
Net Income From Continuing Operation Net Minority Interest,-49818433.0,-27261096.0,-28011157.0,-12778387.0,
Reconciled Depreciation,1128449.0,783208.0,307430.0,221563.0,
Reconciled Cost Of Revenue,3927228.0,16005.0,0.0,1600000.0,
EBITDA,-46205553.0,-24106037.0,-26323669.0,-12169068.0,
EBIT,-47334002.0,-24889245.0,-26631099.0,-12390631.0,
Net Interest Income,-2230407.0,-1678239.0,-1296732.0,-385240.0,
Interest Expense,2484431.0,2371851.0,1380058.0,387756.0,
Interest Income,254024.0,693612.0,83326.0,2516.0,
Normalized Income,-39851336.0,-27261096.0,-28011157.0,-13241740.0,
Net Income From Continuing And Discontinued Operation,-49818433.0,-27261096.0,-28011157.0,-12778387.0,
Total Expenses,37587664.0,25410233.0,26911515.0,27020526.0,
Total Operating Income As Reported,-48738225.0,-25406446.0,-26911515.0,-13020527.0,
Diluted Average Shares,832997.0,512912.0,420621.0,329051.0,
Basic Average Shares,832997.0,512912.0,420621.0,329051.0,
Diluted EPS,-59.81,-53.15,-66.4,-39.2,
Basic EPS,-59.81,-53.15,-66.4,-39.2,
Diluted NI Availto Com Stockholders,-49818433.0,-27261096.0,-28011157.0,-12778387.0,
Net Income Common Stockholders,-49818433.0,-27261096.0,-28011157.0,-12778387.0,
Net Income,-49818433.0,-27261096.0,-28011157.0,-12778387.0,
Net Income Including Noncontrolling Interests,-49818433.0,-27261096.0,-28011157.0,-12778387.0,
Net Income Continuous Operations,-49818433.0,-27261096.0,-28011157.0,-12778387.0,
Pretax Income,-49818433.0,-27261096.0,-28011157.0,-12778387.0,
Other Income Expense,-10057698.0,-176411.0,197090.0,627380.0,
Other Non Operating Income Expenses,-90601.0,-176411.0,197090.0,164027.0,
Special Income Charges,-9967097.0,0.0,0.0,463353.0,
Other Special Charges,,,,-463353.0,
Write Off,1507897.0,,,,
Impairment Of Capital Assets,9700000.0,0.0,,,
Restructuring And Mergern Acquisition,-1240800.0,0.0,,,
Net Non Operating Interest Income Expense,-2230407.0,-1678239.0,-1296732.0,-385240.0,
Interest Expense Non Operating,2484431.0,2371851.0,1380058.0,387756.0,
Interest Income Non Operating,254024.0,693612.0,83326.0,2516.0,
Operating Income,-37530328.0,-25406446.0,-26911515.0,-13020526.0,
Operating Expense,33660436.0,25394228.0,26911515.0,25420526.0,
Other Operating Expenses,4864600.0,,,,-10000.0
Research And Development,14462722.0,12975832.0,13378680.0,14850874.0,
Selling General And Administration,14333114.0,12418396.0,13532835.0,10569652.0,
Selling And Marketing Expense,747349.0,1097402.0,1203767.0,1964192.0,
General And Administrative Expense,13585765.0,11320994.0,12329068.0,8605460.0,
Other Gand A,6015472.0,4349010.0,5070383.0,3220618.0,
Insurance And Claims,853434.0,933284.0,1061505.0,917548.0,
Salaries And Wages,6716859.0,6038700.0,6197180.0,4467294.0,
Gross Profit,-3869892.0,-12218.0,0.0,12400000.0,
Cost Of Revenue,3927228.0,16005.0,0.0,1600000.0,
Total Revenue,57336.0,3787.0,0.0,14000000.0,
Operating Revenue,57336.0,3787.0,0.0,14000000.0,
