,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-6168419.73,
Tax Rate For Calcs,0.21,0.21,0.21,0.27,
Normalized EBITDA,-22559292.0,-16135645.0,-8216813.0,-1349546.0,
Total Unusual Items,,,0.0,-22845999.0,-575000.0
Total Unusual Items Excluding Goodwill,,,0.0,-22845999.0,-575000.0
Net Income From Continuing Operation Net Minority Interest,-21613376.0,-15426048.0,-8229713.0,-24383879.0,
Reconciled Depreciation,115388.0,5468.0,2135.0,2468.0,
EBITDA,-22559292.0,-16135645.0,-8216813.0,-24195545.0,
EBIT,-22674680.0,-16141113.0,-8218948.0,-24198013.0,
Net Interest Income,1017354.0,572006.0,-497.0,-179853.0,
Interest Expense,,0.0,497.0,179853.0,101976.0
Interest Income,1017354.0,572006.0,0.0,,
Normalized Income,-21613376.0,-15426048.0,-8229713.0,-7706299.73,
Net Income From Continuing And Discontinued Operation,-21613376.0,-15426048.0,-8229713.0,-24383879.0,
Total Expenses,22674680.0,16141113.0,8218948.0,1352014.0,
Total Operating Income As Reported,-22674680.0,-16141113.0,-8218948.0,-1352014.0,
Diluted Average Shares,,17341146.0,13887309.0,3672611.0,8774852.0
Basic Average Shares,,17341146.0,13887309.0,3672611.0,8774852.0
Diluted EPS,,-0.89,-0.59,-6.64,-0.130813
Basic EPS,,-0.89,-0.59,-6.64,-0.130813
Diluted NI Availto Com Stockholders,-21613376.0,-15426048.0,-8229713.0,-24383879.0,
Net Income Common Stockholders,-21613376.0,-15426048.0,-8229713.0,-24383879.0,
Otherunder Preferred Stock Dividend,,,,,-674824.0
Net Income,-21613376.0,-15426048.0,-8229713.0,-24383879.0,
Minority Interests,84987.0,169474.0,0.0,,
Net Income Including Noncontrolling Interests,-21698363.0,-15595522.0,-8229713.0,-24383879.0,
Net Income Continuous Operations,-21698363.0,-15595522.0,-8229713.0,-24383879.0,
Tax Provision,41037.0,26415.0,10268.0,6013.0,
Pretax Income,-21657326.0,-15569107.0,-8219445.0,-24377866.0,
Other Income Expense,,,,-22845999.0,-574488.0
Other Non Operating Income Expenses,,,,,512.0
Special Income Charges,,,0.0,-86170.0,0.0
Other Special Charges,,,,86170.0,
Gain On Sale Of Security,,,,-22759829.0,-575000.0
Net Non Operating Interest Income Expense,1017354.0,572006.0,-497.0,-179853.0,
Interest Expense Non Operating,,0.0,497.0,179853.0,101976.0
Interest Income Non Operating,1017354.0,572006.0,0.0,,
Operating Income,-22674680.0,-16141113.0,-8218948.0,-1352014.0,
Operating Expense,22674680.0,16141113.0,8218948.0,1352014.0,
Research And Development,11292702.0,8735031.0,4195778.0,126527.0,
Selling General And Administration,11381978.0,7406082.0,4023170.0,1225487.0,
General And Administrative Expense,11381978.0,7406082.0,4023170.0,1225487.0,
Other Gand A,11381978.0,7406082.0,4023170.0,1225487.0,
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
