,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-9796756.0,-22716488.0,-30827529.0,-9131556.0,
Total Unusual Items,-638046.0,,0.0,-9396780.0,0.0
Total Unusual Items Excluding Goodwill,-638046.0,,0.0,-9396780.0,0.0
Net Income From Continuing Operation Net Minority Interest,-10784802.0,-22457859.0,-27991212.0,-30212770.0,
Reconciled Depreciation,215437.0,204617.0,121749.0,77960.0,
EBITDA,-10434802.0,-22716488.0,-30827529.0,-18528336.0,
EBIT,-10650239.0,-22921105.0,-30949278.0,-18606296.0,
Net Interest Income,172568.0,463256.0,253323.0,-2431614.0,
Interest Expense,,,,2431614.0,2440903.0
Interest Income,172568.0,463256.0,253323.0,,
Normalized Income,-10146756.0,-22457859.0,-27991212.0,-20815990.0,
Net Income From Continuing And Discontinued Operation,-10784802.0,-22457859.0,-27991212.0,-30212770.0,
Total Expenses,10650239.0,22921105.0,30949278.0,18606296.0,
Total Operating Income As Reported,-11288285.0,-22921105.0,-30949278.0,-28358591.0,
Diluted Average Shares,3773326.0,3435994.0,3367292.0,2602548.0,
Basic Average Shares,3773326.0,3435994.0,3367292.0,2602548.0,
Diluted EPS,-2.86,-6.54,-8.3,-11.6,
Basic EPS,-2.86,-6.54,-8.3,-11.6,
Diluted NI Availto Com Stockholders,-10784802.0,-22457859.0,-27991212.0,-30212770.0,
Net Income Common Stockholders,-10784802.0,-22457859.0,-27991212.0,-30212770.0,
Net Income,-10784802.0,-22457859.0,-27991212.0,-30212770.0,
Net Income Including Noncontrolling Interests,-10784802.0,-22457859.0,-27991212.0,-30212770.0,
Net Income Continuous Operations,-10784802.0,-22457859.0,-27991212.0,-30212770.0,
Pretax Income,-10784802.0,-22457859.0,-27991212.0,-30212770.0,
Other Income Expense,-307131.0,-10.0,2704743.0,-9174860.0,
Other Non Operating Income Expenses,330915.0,-10.0,2704743.0,221920.0,
Special Income Charges,,,0.0,355515.0,0.0
Other Special Charges,,,,-355515.0,
Gain On Sale Of Security,-638046.0,,,-9752295.0,
Net Non Operating Interest Income Expense,172568.0,463256.0,253323.0,-2431614.0,
Total Other Finance Cost,,,-253323.0,2431614.0,
Interest Expense Non Operating,,,,2431614.0,2440903.0
Interest Income Non Operating,172568.0,463256.0,253323.0,,
Operating Income,-10650239.0,-22921105.0,-30949278.0,-18606296.0,
Operating Expense,10650239.0,22921105.0,30949278.0,18606296.0,
Other Operating Expenses,,,,9752295.0,3840475.0
Research And Development,6336075.0,15489997.0,23115123.0,13966368.0,
Selling General And Administration,4314164.0,7431108.0,7834155.0,4639928.0,
General And Administrative Expense,4314164.0,7431108.0,7834155.0,4639928.0,
Other Gand A,4314164.0,7431108.0,7834155.0,4639928.0,
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
