,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-3565741.0,-5072750.0,-6300286.0,-6719819.0,
Total Unusual Items,-3403.0,1954.0,-3374.0,-1163.0,
Total Unusual Items Excluding Goodwill,-3403.0,1954.0,-3374.0,-1163.0,
Net Income From Continuing Operation Net Minority Interest,-3585965.0,-5087029.0,-6312535.0,-6728396.0,
EBITDA,-3569144.0,-5070796.0,-6303660.0,-6720982.0,
EBIT,-3569144.0,-5070796.0,-6303660.0,-6720982.0,
Net Interest Income,-9773.0,1253.0,2320.0,-6788.0,
Interest Expense,16821.0,16233.0,8875.0,7414.0,
Interest Income,7048.0,17486.0,11195.0,626.0,
Normalized Income,-3582562.0,-5088983.0,-6309161.0,-6727233.0,
Net Income From Continuing And Discontinued Operation,-3585965.0,-5087029.0,-6312535.0,-6728396.0,
Total Expenses,3572789.0,5090236.0,6311481.0,6720445.0,
Total Operating Income As Reported,-3572789.0,-5090236.0,-6311481.0,-6720445.0,
Diluted Average Shares,2249290.0,1915838.0,1582029.0,1347383.0,
Basic Average Shares,2249290.0,1915838.0,1582029.0,1347383.0,
Diluted EPS,-1.59,-2.66,-3.99,-5.0,
Basic EPS,-1.59,-2.66,-3.99,-5.0,
Diluted NI Availto Com Stockholders,-3585965.0,-5087029.0,-6312535.0,-6728396.0,
Net Income Common Stockholders,-3585965.0,-5087029.0,-6312535.0,-6728396.0,
Net Income,-3585965.0,-5087029.0,-6312535.0,-6728396.0,
Net Income Including Noncontrolling Interests,-3585965.0,-5087029.0,-6312535.0,-6728396.0,
Net Income Continuous Operations,-3585965.0,-5087029.0,-6312535.0,-6728396.0,
Pretax Income,-3585965.0,-5087029.0,-6312535.0,-6728396.0,
Other Income Expense,-3403.0,1954.0,-3374.0,-1163.0,
Gain On Sale Of Security,-3403.0,1954.0,-3374.0,-1163.0,
Net Non Operating Interest Income Expense,-9773.0,1253.0,2320.0,-6788.0,
Interest Expense Non Operating,16821.0,16233.0,8875.0,7414.0,
Interest Income Non Operating,7048.0,17486.0,11195.0,626.0,
Operating Income,-3572789.0,-5090236.0,-6311481.0,-6720445.0,
Operating Expense,3572789.0,5090236.0,6311481.0,6720445.0,
Other Operating Expenses,,,1146289.0,1230385.0,33806.0
Research And Development,726232.0,898100.0,1349269.0,1736776.0,
Selling General And Administration,2846557.0,4192136.0,4962212.0,4983669.0,
General And Administrative Expense,2846557.0,4192136.0,4962212.0,4983669.0,
Other Gand A,1240567.0,2030980.0,2414597.0,1959556.0,
Insurance And Claims,434444.0,442976.0,,,142575.0
Salaries And Wages,1171546.0,1718180.0,2547615.0,3024113.0,
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
