,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-17135376.0,-10245284.0,-12923301.0,-11582490.0,
Total Unusual Items,6524401.0,,0.0,308600.0,0.0
Total Unusual Items Excluding Goodwill,6524401.0,,0.0,308600.0,0.0
Net Income From Continuing Operation Net Minority Interest,-11507947.0,-10060250.0,-13179092.0,-11231250.0,
Reconciled Depreciation,206172.0,275451.0,234258.0,224415.0,
EBITDA,-10610975.0,-10245284.0,-12923301.0,-11273890.0,
EBIT,-10817147.0,-10520735.0,-13157559.0,-11498305.0,
Net Interest Income,-7323685.0,,,0.0,-232426.0
Interest Expense,,,,0.0,232426.0
Normalized Income,-18032348.0,-10060250.0,-13179092.0,-11539850.0,
Net Income From Continuing And Discontinued Operation,-11507947.0,-10060250.0,-13179092.0,-11231250.0,
Total Expenses,10817147.0,10520735.0,13157559.0,11498305.0,
Total Operating Income As Reported,-10817147.0,-10520735.0,-13157559.0,-11498305.0,
Diluted Average Shares,202106.0,3636.0,1652.0,1169.0,
Basic Average Shares,202106.0,3636.0,1652.0,1169.0,
Diluted EPS,-56.94,-2766.85,-7979.999992,-9799.99999,
Basic EPS,-56.94,-2766.85,-7979.999992,-9799.99999,
Diluted NI Availto Com Stockholders,-11507947.0,-10060250.0,-13179092.0,-11352321.0,
Net Income Common Stockholders,-11507947.0,-10060250.0,-13179092.0,-11352321.0,
Otherunder Preferred Stock Dividend,,,0.0,121071.0,395551.0
Preferred Stock Dividends,,,,,395551.0
Net Income,-11507947.0,-10060250.0,-13179092.0,-11231250.0,
Net Income Including Noncontrolling Interests,-11507947.0,-10060250.0,-13179092.0,-11231250.0,
Net Income Continuous Operations,-11507947.0,-10060250.0,-13179092.0,-11231250.0,
Tax Provision,0.0,0.0,0.0,0.0,
Pretax Income,-11507947.0,-10060250.0,-13179092.0,-11231250.0,
Other Income Expense,6632885.0,460485.0,-21533.0,267055.0,
Other Non Operating Income Expenses,108484.0,460485.0,-21533.0,-41545.0,
Special Income Charges,,,0.0,308600.0,0.0
Other Special Charges,,,,-308600.0,
Gain On Sale Of Security,6524401.0,,,,
Net Non Operating Interest Income Expense,-7323685.0,,,0.0,-232426.0
Total Other Finance Cost,7323685.0,,,,
Interest Expense Non Operating,,,,0.0,232426.0
Operating Income,-10817147.0,-10520735.0,-13157559.0,-11498305.0,
Operating Expense,10817147.0,10520735.0,13157559.0,11498305.0,
Research And Development,3190293.0,5003695.0,6554194.0,5482531.0,
Selling General And Administration,7626854.0,5517040.0,6603365.0,6015774.0,
Selling And Marketing Expense,571040.0,820554.0,1429150.0,1075376.0,
General And Administrative Expense,7055814.0,4696486.0,5174215.0,4940398.0,
Other Gand A,7055814.0,4696486.0,5174215.0,4940398.0,
Gross Profit,,,,0.0,0.0
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
