,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,46500.336278,297719.743157,94710.0,568080.0,
Tax Rate For Calcs,0.028651,0.043488,0.21,0.27,
Normalized EBITDA,-34577000.0,-52977000.0,-32094000.0,39775000.0,
Total Unusual Items,1623000.0,6846000.0,451000.0,2104000.0,
Total Unusual Items Excluding Goodwill,1623000.0,6846000.0,451000.0,2104000.0,
Net Income From Continuing Operation Net Minority Interest,-43328000.0,-58990000.0,-57429000.0,36262000.0,
Reconciled Depreciation,10700000.0,13000000.0,11000000.0,10800000.0,
Reconciled Cost Of Revenue,1104088000.0,1329406000.0,1503647000.0,2050249000.0,
EBITDA,-32954000.0,-46131000.0,-31643000.0,41879000.0,
EBIT,-43654000.0,-59131000.0,-42643000.0,31079000.0,
Net Interest Income,1769000.0,-193000.0,479000.0,467000.0,
Interest Expense,952000.0,2541000.0,685000.0,612000.0,
Interest Income,2721000.0,2348000.0,1164000.0,1079000.0,
Normalized Income,-44904499.663722,-65538280.256843,-57785290.0,34726080.0,
Net Income From Continuing And Discontinued Operation,-43328000.0,-58990000.0,-57429000.0,36262000.0,
Total Expenses,1287088000.0,1568047000.0,1769811000.0,2342713000.0,
Total Operating Income As Reported,-51551000.0,-71084000.0,-49538000.0,33512000.0,
Diluted Average Shares,,18928000.0,18653000.0,21612500.0,18409005.0
Basic Average Shares,,18928000.0,18653000.0,18332550.0,18409005.0
Diluted EPS,,-3.12,-3.08,1.6,1.652778
Basic EPS,,-3.12,-3.08,2.0,1.652778
Diluted NI Availto Com Stockholders,-43328000.0,-58990000.0,-57429000.0,36262000.0,
Net Income Common Stockholders,-43328000.0,-58990000.0,-57429000.0,36262000.0,
Net Income,-43328000.0,-58990000.0,-57429000.0,36262000.0,
Net Income Including Noncontrolling Interests,-43328000.0,-58990000.0,-57429000.0,36262000.0,
Net Income Continuous Operations,-43328000.0,-58990000.0,-57429000.0,36262000.0,
Tax Provision,-1278000.0,-2682000.0,14101000.0,-5795000.0,
Pretax Income,-44606000.0,-61672000.0,-43328000.0,30467000.0,
Other Income Expense,5176000.0,9605000.0,5731000.0,-3512000.0,
Other Non Operating Income Expenses,3553000.0,2759000.0,5280000.0,1758000.0,
Special Income Charges,0.0,0.0,-2281000.0,2043000.0,
Gain On Sale Of Business,,0.0,0.0,2043000.0,0.0
Write Off,0.0,0.0,2281000.0,0.0,
Earnings From Equity Interest,,0.0,0.0,-7374000.0,3197000.0
Gain On Sale Of Security,1623000.0,6846000.0,2732000.0,61000.0,
Net Non Operating Interest Income Expense,1769000.0,-193000.0,479000.0,467000.0,
Interest Expense Non Operating,952000.0,2541000.0,685000.0,612000.0,
Interest Income Non Operating,2721000.0,2348000.0,1164000.0,1079000.0,
Operating Income,-51512000.0,-71084000.0,-49538000.0,33512000.0,
Operating Expense,183000000.0,238641000.0,266164000.0,292464000.0,
Depreciation Amortization Depletion Income Statement,10700000.0,13400000.0,,,
Depreciation And Amortization In Income Statement,10700000.0,13400000.0,,,
Selling General And Administration,172300000.0,238641000.0,266164000.0,292464000.0,
Selling And Marketing Expense,14000000.0,12700000.0,,,
General And Administrative Expense,158300000.0,212500000.0,,,
Other Gand A,69000000.0,90700000.0,,,
Salaries And Wages,89300000.0,121800000.0,,,
Gross Profit,131488000.0,167557000.0,216626000.0,325976000.0,
Cost Of Revenue,1104088000.0,1329406000.0,1503647000.0,2050249000.0,
Total Revenue,1235576000.0,1496963000.0,1720273000.0,2376225000.0,
Operating Revenue,1235576000.0,1496963000.0,1720273000.0,2376225000.0,
