,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-3990000.0,42420000.0,-21420000.0,3240000.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.27,
Normalized EBITDA,-186000000.0,-193000000.0,-774000000.0,-475000000.0,
Total Unusual Items,-19000000.0,202000000.0,-102000000.0,12000000.0,
Total Unusual Items Excluding Goodwill,-19000000.0,202000000.0,-102000000.0,12000000.0,
Net Income From Continuing Operation Net Minority Interest,-392000000.0,-275000000.0,-1353000000.0,-662000000.0,
Reconciled Depreciation,53000000.0,72000000.0,90000000.0,55000000.0,
Reconciled Cost Of Revenue,4720000000.0,6459000000.0,14900000000.0,7291000000.0,
EBITDA,-205000000.0,9000000.0,-876000000.0,-463000000.0,
EBIT,-258000000.0,-63000000.0,-966000000.0,-518000000.0,
Net Interest Income,-133000000.0,-211000000.0,-385000000.0,-143000000.0,
Interest Expense,133000000.0,211000000.0,385000000.0,143000000.0,
Normalized Income,-376990000.0,-434580000.0,-1272420000.0,-670760000.0,
Net Income From Continuing And Discontinued Operation,-392000000.0,-275000000.0,-1353000000.0,-662000000.0,
Total Expenses,5456000000.0,7318000000.0,16421000000.0,8589000000.0,
Total Operating Income As Reported,-320000000.0,-386000000.0,-931000000.0,-568000000.0,
Diluted Average Shares,699457000.0,657111000.0,627105000.0,592574000.0,
Basic Average Shares,699457000.0,657111000.0,627105000.0,592574000.0,
Diluted EPS,-0.56,-0.42,-2.16,-1.12,
Basic EPS,-0.56,-0.42,-2.16,-1.12,
Diluted NI Availto Com Stockholders,-392000000.0,-275000000.0,-1353000000.0,-662000000.0,
Net Income Common Stockholders,-392000000.0,-275000000.0,-1353000000.0,-662000000.0,
Net Income,-392000000.0,-275000000.0,-1353000000.0,-662000000.0,
Minority Interests,,,,0.0,0.0
Net Income Including Noncontrolling Interests,-392000000.0,-275000000.0,-1353000000.0,-662000000.0,
Net Income Continuous Operations,-392000000.0,-275000000.0,-1353000000.0,-662000000.0,
Tax Provision,1000000.0,1000000.0,2000000.0,1000000.0,
Pretax Income,-391000000.0,-274000000.0,-1351000000.0,-661000000.0,
Other Income Expense,45000000.0,309000000.0,-112000000.0,50000000.0,
Other Non Operating Income Expenses,64000000.0,107000000.0,-10000000.0,38000000.0,
Special Income Charges,-19000000.0,202000000.0,-102000000.0,0.0,
Other Special Charges,2000000.0,-216000000.0,25000000.0,,11000000.0
Impairment Of Capital Assets,0.0,0.0,60000000.0,0.0,
Restructuring And Mergern Acquisition,17000000.0,14000000.0,17000000.0,0.0,
Gain On Sale Of Security,,,,12000000.0,8000000.0
Net Non Operating Interest Income Expense,-133000000.0,-211000000.0,-385000000.0,-143000000.0,
Interest Expense Non Operating,133000000.0,211000000.0,385000000.0,143000000.0,
Operating Income,-303000000.0,-372000000.0,-854000000.0,-568000000.0,
Operating Expense,736000000.0,859000000.0,1521000000.0,1298000000.0,
Research And Development,141000000.0,167000000.0,169000000.0,134000000.0,
Selling General And Administration,595000000.0,692000000.0,1352000000.0,1164000000.0,
Selling And Marketing Expense,413000000.0,486000000.0,1006000000.0,544000000.0,
General And Administrative Expense,182000000.0,206000000.0,346000000.0,620000000.0,
Other Gand A,182000000.0,206000000.0,346000000.0,620000000.0,
Gross Profit,433000000.0,487000000.0,667000000.0,730000000.0,
Cost Of Revenue,4720000000.0,6459000000.0,14900000000.0,7291000000.0,
Total Revenue,5153000000.0,6946000000.0,15567000000.0,8021000000.0,
Operating Revenue,5153000000.0,6946000000.0,15567000000.0,8021000000.0,
