,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,103730.0,-17710.0,
Tax Rate For Calcs,0.0,0.0,0.23,0.23,
Normalized EBITDA,-32470000.0,-23054000.0,-24114000.0,-32818000.0,
Total Unusual Items,17432000.0,183000.0,451000.0,-77000.0,
Total Unusual Items Excluding Goodwill,17432000.0,183000.0,451000.0,-77000.0,
Net Income From Continuing Operation Net Minority Interest,-17727000.0,-26169000.0,-28317000.0,-36226000.0,
Reconciled Depreciation,1803000.0,871000.0,2520000.0,2565000.0,
EBITDA,-15038000.0,-22871000.0,-23663000.0,-32895000.0,
EBIT,-16841000.0,-23742000.0,-26183000.0,-35460000.0,
Net Interest Income,-1738000.0,-1338000.0,-1618000.0,-620000.0,
Interest Expense,873000.0,2404000.0,2069000.0,699000.0,
Interest Income,1048000.0,1122000.0,464000.0,86000.0,
Normalized Income,-35159000.0,-26352000.0,-28664270.0,-36166710.0,
Net Income From Continuing And Discontinued Operation,-17727000.0,-26169000.0,-28317000.0,-36226000.0,
Total Expenses,35551000.0,25348000.0,27219000.0,35462000.0,
Rent Expense Supplemental,593000.0,298000.0,346000.0,291000.0,
Total Operating Income As Reported,-44523000.0,-25348000.0,-27219000.0,-35462000.0,
Diluted Average Shares,13138106.0,5133032.0,2985400.0,2600794.0,
Basic Average Shares,12019401.0,5133032.0,2985400.0,2600794.0,
Diluted EPS,-1.47,-5.1,-9.5,-13.9,
Basic EPS,-1.47,-5.1,-9.5,-13.9,
Diluted NI Availto Com Stockholders,-44185000.0,-26169000.0,-28317000.0,-36226000.0,
Average Dilution Earnings,-26458000.0,0.0,,,
Net Income Common Stockholders,-17727000.0,-26169000.0,-28317000.0,-36226000.0,
Net Income,-17727000.0,-26169000.0,-28317000.0,-36226000.0,
Net Income Including Noncontrolling Interests,-17727000.0,-26169000.0,-28317000.0,-36226000.0,
Net Income Continuous Operations,-17727000.0,-26169000.0,-28317000.0,-36226000.0,
Tax Provision,13000.0,23000.0,65000.0,67000.0,
Pretax Income,-17714000.0,-26146000.0,-28252000.0,-36159000.0,
Other Income Expense,19575000.0,540000.0,585000.0,-77000.0,
Other Non Operating Income Expenses,2143000.0,357000.0,134000.0,,
Special Income Charges,-8972000.0,0.0,,0.0,-116000.0
Impairment Of Capital Assets,8084000.0,0.0,,,
Restructuring And Mergern Acquisition,888000.0,0.0,,0.0,116000.0
Gain On Sale Of Security,26404000.0,183000.0,451000.0,-77000.0,
Net Non Operating Interest Income Expense,-1738000.0,-1338000.0,-1618000.0,-620000.0,
Total Other Finance Cost,1913000.0,56000.0,13000.0,7000.0,
Interest Expense Non Operating,873000.0,2404000.0,2069000.0,699000.0,
Interest Income Non Operating,1048000.0,1122000.0,464000.0,86000.0,
Operating Income,-35551000.0,-25348000.0,-27219000.0,-35462000.0,
Operating Expense,35551000.0,25348000.0,27219000.0,35462000.0,
Depreciation Amortization Depletion Income Statement,,0.0,1519000.0,1519000.0,1518000.0
Depreciation And Amortization In Income Statement,,0.0,1519000.0,1519000.0,1518000.0
Amortization,,0.0,1519000.0,1519000.0,1518000.0
Amortization Of Intangibles Income Statement,,0.0,1519000.0,1519000.0,1518000.0
Research And Development,24663000.0,16698000.0,16244000.0,22676000.0,
Selling General And Administration,10888000.0,8650000.0,9456000.0,11267000.0,
General And Administrative Expense,10888000.0,8650000.0,9456000.0,11267000.0,
Other Gand A,4567000.0,3371000.0,3201000.0,4119000.0,
Insurance And Claims,1379000.0,1577000.0,2447000.0,2495000.0,
Rent And Landing Fees,593000.0,298000.0,346000.0,291000.0,
Salaries And Wages,4349000.0,3404000.0,3462000.0,4362000.0,
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
