,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.004,0.21,0.21,0.27
Normalized EBITDA,-158492000.0,-125586000.0,-143988000.0,-53124000.0
Net Income From Continuing Operation Net Minority Interest,-61186000.0,-35468000.0,-108032000.0,-55146000.0
Reconciled Depreciation,5432000.0,3853000.0,3036000.0,1984000.0
EBITDA,-158492000.0,-125586000.0,-143988000.0,-53124000.0
EBIT,-163924000.0,-129439000.0,-147024000.0,-55108000.0
Net Interest Income,19743000.0,22071000.0,5768000.0,2000.0
Interest Expense,9000.0,12000.0,215000.0,0.0
Interest Income,19752000.0,22083000.0,5983000.0,2000.0
Normalized Income,-61186000.0,-35468000.0,-108032000.0,-55146000.0
Net Income From Continuing And Discontinued Operation,-61186000.0,-35468000.0,-108032000.0,-55146000.0
Total Expenses,183752000.0,151522000.0,153007000.0,55110000.0
Total Operating Income As Reported,-183676000.0,-151522000.0,-153007000.0,-55110000.0
Diluted Average Shares,97916193.0,61714225.0,61540231.0,186500000.0
Basic Average Shares,97916193.0,61714225.0,61540231.0,186500000.0
Diluted EPS,-0.62,-0.57,-0.23,-0.295689
Basic EPS,-0.62,-0.57,-0.23,-0.295689
Diluted NI Availto Com Stockholders,-61186000.0,-35468000.0,-108032000.0,-55146000.0
Net Income Common Stockholders,-61186000.0,-35468000.0,-108032000.0,-55146000.0
Net Income,-61186000.0,-35468000.0,-108032000.0,-55146000.0
Minority Interests,102149000.0,99979000.0,40103000.0,0.0
Net Income Including Noncontrolling Interests,-163335000.0,-135447000.0,-148135000.0,-55146000.0
Net Income Continuous Operations,-163335000.0,-135447000.0,-148135000.0,-55146000.0
Tax Provision,-598000.0,5996000.0,896000.0,38000.0
Pretax Income,-163933000.0,-129451000.0,-147239000.0,-55108000.0
Net Non Operating Interest Income Expense,19743000.0,22071000.0,5768000.0,2000.0
Interest Expense Non Operating,9000.0,12000.0,215000.0,0.0
Interest Income Non Operating,19752000.0,22083000.0,5983000.0,2000.0
Operating Income,-183676000.0,-151522000.0,-153007000.0,-55110000.0
Operating Expense,183752000.0,151522000.0,153007000.0,55110000.0
Research And Development,127668000.0,106707000.0,82070000.0,46255000.0
Selling General And Administration,56084000.0,44815000.0,70937000.0,8855000.0
General And Administrative Expense,56084000.0,44815000.0,70937000.0,8855000.0
Other Gand A,56084000.0,44815000.0,70937000.0,8855000.0
Total Revenue,76000.0,0.0,0.0,0.0
Operating Revenue,76000.0,0.0,0.0,0.0
