,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-409927000.0,-392953000.0,-373374000.0,-198533000.0,
Total Unusual Items,,,,168674000.0,-581863000.0
Total Unusual Items Excluding Goodwill,,,,168674000.0,-581863000.0
Net Income From Continuing Operation Net Minority Interest,-477857000.0,-445145000.0,-411907000.0,-45966000.0,
Reconciled Depreciation,65791000.0,49749000.0,36123000.0,14699000.0,
EBITDA,-409927000.0,-392953000.0,-373374000.0,-29859000.0,
EBIT,-475718000.0,-442702000.0,-409497000.0,-44558000.0,
Net Interest Income,43800000.0,34111000.0,8506000.0,464000.0,
Interest Expense,2224000.0,2377000.0,2399000.0,1419000.0,
Interest Income,46024000.0,36488000.0,10905000.0,1883000.0,
Normalized Income,-477857000.0,-445145000.0,-411907000.0,-214640000.0,
Net Income From Continuing And Discontinued Operation,-477857000.0,-445145000.0,-411907000.0,-45966000.0,
Total Expenses,525207000.0,479030000.0,420618000.0,215266000.0,
Total Operating Income As Reported,-525207000.0,-479030000.0,-420618000.0,-215266000.0,
Diluted Average Shares,,462239000.0,432973000.0,409509000.0,252143509.0
Basic Average Shares,,462239000.0,432973000.0,404259000.0,252143509.0
Diluted EPS,,-0.96,-0.95,-0.52,-4.36
Basic EPS,,-0.96,-0.95,-0.11,-4.36
Diluted NI Availto Com Stockholders,-477857000.0,-445145000.0,-411907000.0,-214640000.0,
Average Dilution Earnings,,0.0,0.0,-168674000.0,0.0
Net Income Common Stockholders,-477857000.0,-445145000.0,-411907000.0,-45966000.0,
Net Income,-477857000.0,-445145000.0,-411907000.0,-45966000.0,
Minority Interests,85000.0,-66000.0,-11000.0,11000.0,
Net Income Including Noncontrolling Interests,-477942000.0,-445079000.0,-411896000.0,-45977000.0,
Net Income Continuous Operations,-477942000.0,-445079000.0,-411896000.0,-45977000.0,
Pretax Income,-477942000.0,-445079000.0,-411896000.0,-45977000.0,
Other Income Expense,3465000.0,-160000.0,216000.0,168825000.0,
Other Non Operating Income Expenses,3465000.0,-160000.0,216000.0,151000.0,
Gain On Sale Of Security,,,,168674000.0,-581863000.0
Net Non Operating Interest Income Expense,43800000.0,34111000.0,8506000.0,464000.0,
Interest Expense Non Operating,2224000.0,2377000.0,2399000.0,1419000.0,
Interest Income Non Operating,46024000.0,36488000.0,10905000.0,1883000.0,
Operating Income,-525207000.0,-479030000.0,-420618000.0,-215266000.0,
Operating Expense,525207000.0,479030000.0,420618000.0,215266000.0,
Research And Development,382971000.0,347945000.0,297435000.0,151496000.0,
Selling General And Administration,142236000.0,131085000.0,123183000.0,63770000.0,
General And Administrative Expense,142236000.0,131085000.0,123183000.0,63770000.0,
Other Gand A,142236000.0,131085000.0,123183000.0,63770000.0,
Total Revenue,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,
