,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,2880000.0,-5015000.0,-16171000.0,-27799000.0,
Total Unusual Items,74000.0,321000.0,4000.0,,8000.0
Total Unusual Items Excluding Goodwill,74000.0,321000.0,4000.0,,8000.0
Net Income From Continuing Operation Net Minority Interest,-480000.0,-8439000.0,-18679000.0,-32674000.0,
Reconciled Depreciation,2180000.0,1444000.0,576000.0,2515000.0,
Reconciled Cost Of Revenue,84005000.0,74908000.0,68733000.0,64351000.0,
EBITDA,2954000.0,-4694000.0,-16167000.0,-27799000.0,
EBIT,774000.0,-6138000.0,-16743000.0,-30314000.0,
Net Interest Income,-1162000.0,-2090000.0,-1903000.0,-2338000.0,
Interest Expense,1254000.0,2301000.0,1936000.0,2360000.0,
Interest Income,92000.0,211000.0,33000.0,22000.0,
Normalized Income,-554000.0,-8760000.0,-18683000.0,-32674000.0,
Net Income From Continuing And Discontinued Operation,-480000.0,-8439000.0,-18679000.0,-32674000.0,
Total Expenses,100881000.0,90282000.0,89590000.0,92267000.0,
Total Operating Income As Reported,608000.0,-6670000.0,-16780000.0,-30336000.0,
Diluted Average Shares,,23322915.0,9866844.0,8526186.0,6874697.0
Basic Average Shares,,23322915.0,9866844.0,8526186.0,6874697.0
Diluted EPS,,-0.37,-1.89,-3.83,-4.51
Basic EPS,,-0.37,-1.89,-3.83,-4.51
Diluted NI Availto Com Stockholders,-782000.0,-8589000.0,-18679000.0,-32674000.0,
Net Income Common Stockholders,-782000.0,-8589000.0,-18679000.0,-32674000.0,
Otherunder Preferred Stock Dividend,302000.0,150000.0,,,
Net Income,-480000.0,-8439000.0,-18679000.0,-32674000.0,
Net Income Including Noncontrolling Interests,-480000.0,-8439000.0,-18679000.0,-32674000.0,
Net Income Continuous Operations,-480000.0,-8439000.0,-18679000.0,-32674000.0,
Pretax Income,-480000.0,-8439000.0,-18679000.0,-32674000.0,
Other Income Expense,74000.0,321000.0,4000.0,,-829000.0
Other Non Operating Income Expenses,,,,,-837000.0
Gain On Sale Of Security,74000.0,321000.0,4000.0,,8000.0
Net Non Operating Interest Income Expense,-1162000.0,-2090000.0,-1903000.0,-2338000.0,
Interest Expense Non Operating,1254000.0,2301000.0,1936000.0,2360000.0,
Interest Income Non Operating,92000.0,211000.0,33000.0,22000.0,
Operating Income,608000.0,-6670000.0,-16780000.0,-30336000.0,
Operating Expense,16876000.0,15374000.0,20857000.0,27916000.0,
Research And Development,19000.0,1107000.0,3119000.0,6835000.0,
Selling General And Administration,16857000.0,14267000.0,17738000.0,21081000.0,
Selling And Marketing Expense,2749000.0,2125000.0,2094000.0,5733000.0,
General And Administrative Expense,14108000.0,12142000.0,15644000.0,15348000.0,
Other Gand A,14108000.0,12142000.0,15644000.0,15348000.0,
Gross Profit,17484000.0,8704000.0,4077000.0,-2420000.0,
Cost Of Revenue,84005000.0,74908000.0,68733000.0,64351000.0,
Total Revenue,101489000.0,83612000.0,72810000.0,61931000.0,
Operating Revenue,101489000.0,83612000.0,72810000.0,61931000.0,
