,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,5.2e-05,0.0,0.0,0.0,
Normalized EBITDA,-4137255.0,-7510403.0,-8361188.0,-33259413.0,
Total Unusual Items,0.0,-2464732.0,-4726000.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,-2464732.0,-4726000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-4473643.0,-11248598.0,-14095646.0,-33469830.0,
Reconciled Depreciation,12102.0,107414.0,912248.0,206246.0,
Reconciled Cost Of Revenue,2756076.0,3420062.0,2173835.0,2935119.0,
EBITDA,-4137255.0,-9975135.0,-13087188.0,-33259413.0,
EBIT,-4149357.0,-10082549.0,-13999436.0,-33465659.0,
Net Interest Income,-264229.0,-1096848.0,-75763.0,29055.0,
Interest Expense,324518.0,1150341.0,109165.0,0.0,
Interest Income,60289.0,53493.0,33402.0,29055.0,
Normalized Income,-4473643.0,-8783866.0,-9369646.0,-33469830.0,
Net Income From Continuing And Discontinued Operation,10099619.0,-14243182.0,-15233378.0,-55644135.0,
Total Expenses,8425324.0,11381195.0,13046786.0,36130471.0,
Total Operating Income As Reported,-4762975.0,-8893202.0,-14282838.0,-33494714.0,
Diluted Average Shares,337254.0,230080.0,207329.0,119169.0,
Basic Average Shares,286938.0,230080.0,207329.0,119169.0,
Diluted EPS,27.48,-62.04,-73.56,-472.8,
Basic EPS,35.16,-62.04,-73.56,-472.8,
Diluted NI Availto Com Stockholders,10099619.0,-14243182.0,-15233378.0,-56424519.0,
Net Income Common Stockholders,10099619.0,-14243182.0,-15233378.0,-56424519.0,
Otherunder Preferred Stock Dividend,,,0.0,373560.0,
Preferred Stock Dividends,,,8862.0,406824.0,
Net Income,10099619.0,-14243182.0,-15233378.0,-55644135.0,
Net Income Including Noncontrolling Interests,10099619.0,-14243182.0,-15233378.0,-55644135.0,
Net Income Discontinuous Operations,14573262.0,-2994584.0,-1137732.0,-22174305.0,
Net Income Continuous Operations,-4473643.0,-11248598.0,-14095646.0,-33469830.0,
Tax Provision,-232.0,15708.0,-12955.0,4171.0,
Pretax Income,-4473875.0,-11232890.0,-14108601.0,-33465659.0,
Other Income Expense,553329.0,-3707572.0,-4476000.0,-26172757.0,
Other Non Operating Income Expenses,553329.0,-1242840.0,250000.0,,
Special Income Charges,0.0,-2464732.0,-4726000.0,0.0,
Other Special Charges,,,,,-46500.0
Impairment Of Capital Assets,0.0,2464732.0,4726000.0,0.0,
Restructuring And Mergern Acquisition,,,0.0,4450544.0,0.0
Net Non Operating Interest Income Expense,-264229.0,-1096848.0,-75763.0,29055.0,
Interest Expense Non Operating,324518.0,1150341.0,109165.0,0.0,
Interest Income Non Operating,60289.0,53493.0,33402.0,29055.0,
Operating Income,-4762975.0,-6428470.0,-9556838.0,-33494714.0,
Operating Expense,5669248.0,7961133.0,10872951.0,33195352.0,
Other Operating Expenses,,,,23301206.0,
Selling General And Administration,5669248.0,7961133.0,10872951.0,9894146.0,
General And Administrative Expense,,,,29759850.0,1630411.0
Other Gand A,,,,29759850.0,1630411.0
Gross Profit,906273.0,1532663.0,1316113.0,-299362.0,
Cost Of Revenue,2756076.0,3420062.0,2173835.0,2935119.0,
Total Revenue,3662349.0,4952725.0,3489948.0,2635757.0,
Operating Revenue,3662349.0,4952725.0,3489948.0,2635757.0,
