,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-8038314.0,-4437802.0,-6074299.0,-5922078.0
Total Unusual Items,332325.0,,-666316.0,-2430794.0
Total Unusual Items Excluding Goodwill,332325.0,,-666316.0,-2430794.0
Net Income From Continuing Operation Net Minority Interest,-8725952.0,-5478120.0,-6673814.0,-8804227.0
Reconciled Depreciation,232399.0,183745.0,1768.0,372852.0
Reconciled Cost Of Revenue,200802.0,40387.0,783064.0,504342.0
EBITDA,-7705989.0,-4437802.0,-6074299.0,-8352872.0
EBIT,-7938388.0,-4621547.0,-6076067.0,-8725724.0
Net Interest Income,-774399.0,-856573.0,-596647.0,-77316.0
Interest Expense,787564.0,856573.0,597747.0,78503.0
Interest Income,13165.0,0.0,1100.0,1187.0
Normalized Income,-9058277.0,-5478120.0,-6673814.0,-6373433.0
Net Income From Continuing And Discontinued Operation,-8725952.0,-5478120.0,-6673814.0,-8804227.0
Total Expenses,8174375.0,4990759.0,6371904.0,6637101.0
Total Operating Income As Reported,-7493824.0,-4748181.0,-6393568.0,-8572276.0
Diluted Average Shares,439351.0,276013.0,236273.0,236273.0
Basic Average Shares,426931.0,276013.0,192451.0,236273.0
Diluted EPS,-19.86,-19.85,-34.677991,-37.262942
Basic EPS,-19.86,-19.85,-34.677991,-37.262942
Diluted NI Availto Com Stockholders,-8725952.0,-5478120.0,-6673814.0,-8804227.0
Net Income Common Stockholders,-8725952.0,-5478120.0,-6673814.0,-8804227.0
Net Income,-8725952.0,-5478120.0,-6673814.0,-8804227.0
Net Income Including Noncontrolling Interests,-8725952.0,-5478120.0,-6673814.0,-8804227.0
Net Income Continuous Operations,-8725952.0,-5478120.0,-6673814.0,-8804227.0
Tax Provision,0.0,0.0,0.0,
Pretax Income,-8725952.0,-5478120.0,-6673814.0,-8804227.0
Other Income Expense,-392729.0,61634.0,216401.0,-2430794.0
Other Non Operating Income Expenses,-725054.0,61634.0,216401.0,
Special Income Charges,,,-666316.0,-2430794.0
Other Special Charges,,,-154635.0,154635.0
Impairment Of Capital Assets,,,820951.0,2276159.0
Gain On Sale Of Security,332325.0,,,
Net Non Operating Interest Income Expense,-774399.0,-856573.0,-596647.0,-77316.0
Interest Expense Non Operating,787564.0,856573.0,597747.0,78503.0
Interest Income Non Operating,13165.0,0.0,1100.0,1187.0
Operating Income,-7558824.0,-4683181.0,-6293568.0,-6296117.0
Operating Expense,7973573.0,4950372.0,5588840.0,6132759.0
Other Taxes,65000.0,-65000.0,-100000.0,0.0
Selling General And Administration,7908573.0,5015372.0,5688840.0,6132759.0
Selling And Marketing Expense,94814.0,439700.0,1842666.0,1104939.0
General And Administrative Expense,7813759.0,4575672.0,3846174.0,5027820.0
Other Gand A,7813759.0,4575672.0,3846174.0,5027820.0
Gross Profit,414749.0,267191.0,-704728.0,-163358.0
Cost Of Revenue,200802.0,40387.0,783064.0,504342.0
Total Revenue,615551.0,307578.0,78336.0,340984.0
Operating Revenue,615551.0,307578.0,78336.0,340984.0
