,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-24069.2,-1437813.0,0.0,0.0
Tax Rate For Calcs,0.0038,0.013,0.0,0.0
Normalized EBITDA,-51903000.0,-136668000.0,-50979000.0,-33207000.0
Total Unusual Items,-6334000.0,-110601000.0,-21760000.0,615000.0
Total Unusual Items Excluding Goodwill,-6334000.0,-110601000.0,-21760000.0,615000.0
Net Income From Continuing Operation Net Minority Interest,-74908000.0,-250696000.0,-74362000.0,-35784000.0
Reconciled Depreciation,8341000.0,3762000.0,1027000.0,1052000.0
Reconciled Cost Of Revenue,118275000.0,65680000.0,25851000.0,15547000.0
EBITDA,-58237000.0,-247269000.0,-72739000.0,-32592000.0
EBIT,-66578000.0,-251031000.0,-73766000.0,-33644000.0
Net Interest Income,-8617000.0,-2969000.0,-596000.0,-2140000.0
Interest Expense,8617000.0,2969000.0,596000.0,2140000.0
Normalized Income,-68598069.2,-141532813.0,-52602000.0,-36399000.0
Net Income From Continuing And Discontinued Operation,-74908000.0,-250696000.0,-74362000.0,-35784000.0
Total Expenses,179681000.0,197227000.0,71178000.0,45148000.0
Rent Expense Supplemental,,,0.0,0.0
Total Operating Income As Reported,-60256000.0,-196767000.0,-50904000.0,-33350000.0
Diluted Average Shares,12910341.0,5638129.0,7017636.0,7017636.0
Basic Average Shares,12910341.0,5638129.0,7017636.0,7017636.0
Diluted EPS,-5.8,-44.45,-10.596446,-5.099153
Basic EPS,-5.8,-44.45,-10.596446,-5.099153
Diluted NI Availto Com Stockholders,-74908000.0,-250696000.0,-74362000.0,-35784000.0
Net Income Common Stockholders,-74908000.0,-250696000.0,-74362000.0,-35784000.0
Net Income,-74908000.0,-250696000.0,-74362000.0,-35784000.0
Minority Interests,,,677000.0,
Net Income Including Noncontrolling Interests,-74908000.0,-250696000.0,-74362000.0,-35784000.0
Net Income Continuous Operations,-74908000.0,-250696000.0,-74362000.0,-35784000.0
Tax Provision,-287000.0,-3304000.0,0.0,0.0
Pretax Income,-75195000.0,-254000000.0,-74362000.0,-35784000.0
Other Income Expense,-6322000.0,-114309000.0,-22862000.0,-294000.0
Other Non Operating Income Expenses,12000.0,-3708000.0,-1102000.0,-909000.0
Special Income Charges,5398000.0,-60371000.0,5951000.0,691000.0
Other Special Charges,-5398000.0,326000.0,-5951000.0,-691000.0
Impairment Of Capital Assets,0.0,60045000.0,0.0,
Gain On Sale Of Security,-11732000.0,-50230000.0,-27711000.0,-76000.0
Net Non Operating Interest Income Expense,-8617000.0,-2969000.0,-596000.0,-2140000.0
Interest Expense Non Operating,8617000.0,2969000.0,596000.0,2140000.0
Operating Income,-60256000.0,-136722000.0,-50904000.0,-33350000.0
Operating Expense,61406000.0,131547000.0,45327000.0,29601000.0
Research And Development,24041000.0,20850000.0,3289000.0,2964000.0
Selling General And Administration,37365000.0,110697000.0,42038000.0,26637000.0
Selling And Marketing Expense,7514000.0,10028000.0,5214000.0,3773000.0
General And Administrative Expense,29851000.0,100669000.0,36824000.0,22864000.0
Other Gand A,29851000.0,100669000.0,36824000.0,22864000.0
Gross Profit,1150000.0,-5175000.0,-5577000.0,-3749000.0
Cost Of Revenue,118275000.0,65680000.0,25851000.0,15547000.0
Total Revenue,119425000.0,60505000.0,20274000.0,11798000.0
Operating Revenue,119425000.0,60505000.0,20274000.0,11798000.0
