,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-17741957.0,-19830933.0,-2851783.0,-1388134.0,
Total Unusual Items,,,,-77392.0,-20701.0
Total Unusual Items Excluding Goodwill,,,,-77392.0,-20701.0
Net Income From Continuing Operation Net Minority Interest,-19151197.0,-20878292.0,-3213882.0,-1484313.0,
Reconciled Depreciation,436005.0,152738.0,96577.0,18787.0,
Reconciled Cost Of Revenue,12197162.0,5149786.0,1375570.0,,
EBITDA,-17741957.0,-19830933.0,-2851783.0,-1465526.0,
EBIT,-18177962.0,-19983671.0,-2948360.0,-1484313.0,
Net Interest Income,-175235.0,-604308.0,-255290.0,118.0,
Interest Expense,973235.0,894621.0,265522.0,0.0,
Interest Income,798000.0,290313.0,10232.0,118.0,
Normalized Income,-19151197.0,-20878292.0,-3213882.0,-1406921.0,
Net Income From Continuing And Discontinued Operation,-19151197.0,-20878292.0,-3213882.0,-1484313.0,
Total Expenses,39625490.0,26149298.0,4394739.0,1407038.0,
Total Operating Income As Reported,-18975962.0,-20273984.0,-2958592.0,,
Diluted Average Shares,181203673.0,152069825.0,128157040.0,2848097.0,
Basic Average Shares,170847444.0,144866674.0,128157040.0,2848097.0,
Diluted EPS,-0.11,-0.14,-0.03,-0.5,
Basic EPS,-0.11,-0.14,-0.03,-0.5,
Diluted NI Availto Com Stockholders,-19151197.0,-20878292.0,-3213882.0,-1484313.0,
Net Income Common Stockholders,-19151197.0,-20878292.0,-3213882.0,-1484313.0,
Net Income,-19151197.0,-20878292.0,-3213882.0,-1484313.0,
Net Income Including Noncontrolling Interests,-19151197.0,-20878292.0,-3213882.0,-1484313.0,
Net Income Continuous Operations,-19151197.0,-20878292.0,-3213882.0,-1484313.0,
Tax Provision,0.0,0.0,0.0,0.0,
Pretax Income,-19151197.0,-20878292.0,-3213882.0,-1484313.0,
Other Income Expense,,120000.0,279975.0,-77392.0,-20701.0
Other Non Operating Income Expenses,,120000.0,279975.0,,
Special Income Charges,,,,0.0,4630.0
Other Special Charges,,,,,-4630.0
Impairment Of Capital Assets,,,,,0.0
Gain On Sale Of Security,,,,-77392.0,-25331.0
Net Non Operating Interest Income Expense,-175235.0,-604308.0,-255290.0,118.0,
Interest Expense Non Operating,973235.0,894621.0,265522.0,0.0,
Interest Income Non Operating,798000.0,290313.0,10232.0,118.0,
Operating Income,-18975962.0,-20273984.0,-2958592.0,-1407038.0,
Operating Expense,27428328.0,20999512.0,3019169.0,1407038.0,
Depreciation Amortization Depletion Income Statement,436005.0,152738.0,96577.0,,
Depreciation And Amortization In Income Statement,436005.0,152738.0,96577.0,,
Depreciation Income Statement,,152738.0,96577.0,,
Research And Development,2491771.0,1058660.0,987443.0,1000.0,
Selling General And Administration,24500552.0,19788114.0,1935149.0,1406038.0,
General And Administrative Expense,24500552.0,19788114.0,1935149.0,1406038.0,
Other Gand A,10157768.0,10064622.0,1935149.0,458801.0,
Salaries And Wages,14342784.0,9723492.0,0.0,947237.0,
Gross Profit,8452366.0,725528.0,60577.0,,
Cost Of Revenue,12197162.0,5149786.0,1375570.0,,
Total Revenue,20649528.0,5875314.0,1436147.0,0.0,
Operating Revenue,20649528.0,5875314.0,1436147.0,0.0,
