,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-825193.270724,2724500.0,-1004765.538864,-19891000.0,
Tax Rate For Calcs,0.001539,0.25,0.240778,0.25,
Normalized EBITDA,497662000.0,-25855000.0,-51546000.0,142954000.0,
Total Unusual Items,-536227000.0,10898000.0,-4173000.0,-79564000.0,
Total Unusual Items Excluding Goodwill,-536227000.0,10898000.0,-4173000.0,-79564000.0,
Net Income From Continuing Operation Net Minority Interest,-589527000.0,21280000.0,-65554000.0,-8371000.0,
Reconciled Depreciation,45918000.0,46090000.0,47086000.0,30081000.0,
Reconciled Cost Of Revenue,567585000.0,544336000.0,393292000.0,327889000.0,
EBITDA,-38565000.0,-14957000.0,-55719000.0,63390000.0,
EBIT,-84483000.0,-61047000.0,-102805000.0,33309000.0,
Net Interest Income,46507000.0,48843000.0,28883000.0,19328000.0,
Interest Income,46507000.0,48843000.0,28883000.0,19328000.0,
Normalized Income,-54125193.270724,13106500.0,-62385765.538864,51302000.0,
Net Income From Continuing And Discontinued Operation,-589527000.0,21280000.0,-65554000.0,-8371000.0,
Total Expenses,1551181000.0,1559076000.0,1360679000.0,1659154000.0,
Total Operating Income As Reported,-624492000.0,-61047000.0,-102805000.0,-32570000.0,
Diluted Average Shares,103199790.0,101471435.0,107464850.0,106184655.0,
Basic Average Shares,103199790.0,100940969.0,107464850.0,106184655.0,
Diluted EPS,-5.715385,0.207692,-0.607692,-0.076923,
Basic EPS,-5.715385,0.207692,-0.607692,-0.076923,
Diluted NI Availto Com Stockholders,-589527000.0,21280000.0,-65554000.0,-8371000.0,
Net Income Common Stockholders,-589527000.0,21280000.0,-65554000.0,-8371000.0,
Otherunder Preferred Stock Dividend,,,,0.0,0.0
Net Income,-589527000.0,21280000.0,-65554000.0,-8371000.0,
Minority Interests,-2345000.0,-4664000.0,553000.0,29265000.0,
Net Income Including Noncontrolling Interests,-587182000.0,25944000.0,-66107000.0,-37636000.0,
Net Income Continuous Operations,-587182000.0,25944000.0,-66107000.0,-37636000.0,
Tax Provision,-905000.0,-18075000.0,-20965000.0,21231000.0,
Pretax Income,-588087000.0,7869000.0,-87072000.0,-16405000.0,
Other Income Expense,-550111000.0,20073000.0,-13150000.0,-69042000.0,
Other Non Operating Income Expenses,1131000.0,21898000.0,8246000.0,12044000.0,
Special Income Charges,-547359000.0,-444000.0,-7945000.0,-83729000.0,
Write Off,7350000.0,444000.0,7945000.0,17850000.0,
Impairment Of Capital Assets,540009000.0,0.0,0.0,65879000.0,
Earnings From Equity Interest,-15015000.0,-12723000.0,-17223000.0,-1522000.0,
Gain On Sale Of Security,11132000.0,11342000.0,3772000.0,4165000.0,
Net Non Operating Interest Income Expense,46507000.0,48843000.0,28883000.0,19328000.0,
Interest Income Non Operating,46507000.0,48843000.0,28883000.0,19328000.0,
Operating Income,-84483000.0,-61047000.0,-102805000.0,33309000.0,
Operating Expense,983596000.0,1014740000.0,967387000.0,1331265000.0,
Research And Development,165030000.0,203524000.0,235087000.0,286567000.0,
Selling General And Administration,818566000.0,811216000.0,732300000.0,1044698000.0,
Selling And Marketing Expense,494493000.0,520451000.0,472092000.0,792484000.0,
General And Administrative Expense,324073000.0,290765000.0,260208000.0,252214000.0,
Other Gand A,324073000.0,290765000.0,260208000.0,252214000.0,
Gross Profit,899113000.0,953693000.0,864582000.0,1364574000.0,
Cost Of Revenue,567585000.0,544336000.0,393292000.0,327889000.0,
Total Revenue,1466698000.0,1498029000.0,1257874000.0,1692463000.0,
Operating Revenue,1466698000.0,1498029000.0,1257874000.0,1692463000.0,
