,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.17,0.0,0.17,0.17
Normalized EBITDA,-7585214.0,-4313559.0,-1001944.0,70116.0
Net Income From Continuing Operation Net Minority Interest,-8122842.0,-4774087.0,-1129489.0,29967.0
Reconciled Depreciation,442276.0,413909.0,117966.0,11359.0
Reconciled Cost Of Revenue,464265.0,1216916.0,1000689.0,456645.0
EBITDA,-7585214.0,-4313559.0,-1001944.0,70116.0
EBIT,-8027490.0,-4727468.0,-1119910.0,58757.0
Net Interest Income,-43922.0,-46619.0,-4786.0,-745.0
Interest Expense,43922.0,46619.0,4786.0,745.0
Normalized Income,-8122842.0,-4774087.0,-1129489.0,29967.0
Net Income From Continuing And Discontinued Operation,-8122842.0,-4774087.0,-1129489.0,29967.0
Total Expenses,8533606.0,6247116.0,2519385.0,680667.0
Diluted Average Shares,63286519.0,56867593.0,65089286.0,65089286.0
Basic Average Shares,,56867593.0,65089286.0,65089286.0
Diluted EPS,,-0.083951,-0.022028,0.00046
Basic EPS,,-0.083951,-0.022028,0.00046
Diluted NI Availto Com Stockholders,-8122842.0,-4774087.0,-1129489.0,29967.0
Net Income Common Stockholders,-8122842.0,-4774087.0,-1129489.0,29967.0
Net Income,-8122842.0,-4774087.0,-1129489.0,29967.0
Net Income Including Noncontrolling Interests,-8122842.0,-4774087.0,-1129489.0,29967.0
Net Income Continuous Operations,-8122842.0,-4774087.0,-1129489.0,29967.0
Tax Provision,51430.0,0.0,4793.0,28045.0
Pretax Income,-8071412.0,-4774087.0,-1124696.0,58012.0
Other Income Expense,40681.0,36539.0,136576.0,82332.0
Other Non Operating Income Expenses,40681.0,36539.0,136576.0,82332.0
Net Non Operating Interest Income Expense,-43922.0,-46619.0,-4786.0,-745.0
Interest Expense Non Operating,43922.0,46619.0,4786.0,745.0
Operating Income,-8068171.0,-4764007.0,-1256486.0,-23575.0
Operating Expense,8069341.0,5030200.0,1518696.0,224022.0
Other Operating Expenses,,-24938.0,-75371.0,-73888.0
Research And Development,763093.0,586419.0,287578.0,0.0
Selling General And Administration,7306248.0,4443781.0,1231118.0,297910.0
Selling And Marketing Expense,853980.0,555280.0,241344.0,123533.0
General And Administrative Expense,6452268.0,3888501.0,989774.0,174377.0
Other Gand A,6452268.0,3888501.0,989774.0,174377.0
Gross Profit,1170.0,266193.0,262210.0,200447.0
Cost Of Revenue,464265.0,1216916.0,1000689.0,456645.0
Total Revenue,465435.0,1483109.0,1262899.0,657092.0
Operating Revenue,449688.0,1476945.0,1262899.0,657092.0
