,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,437850.0,0.0,0.0,-270.0
Tax Rate For Calcs,0.21,0.0,0.0,0.27
Normalized EBITDA,-38078000.0,-63223000.0,-51163000.0,-28562000.0
Total Unusual Items,2085000.0,11191000.0,4000.0,-1000.0
Total Unusual Items Excluding Goodwill,2085000.0,11191000.0,4000.0,-1000.0
Net Income From Continuing Operation Net Minority Interest,-40289000.0,-53670000.0,-51588000.0,-29369000.0
Reconciled Depreciation,334000.0,382000.0,428000.0,477000.0
Reconciled Cost Of Revenue,1670000.0,3018000.0,954000.0,182000.0
EBITDA,-35993000.0,-52032000.0,-51159000.0,-28563000.0
EBIT,-36327000.0,-52414000.0,-51587000.0,-29040000.0
Net Interest Income,-2246000.0,-805000.0,161000.0,211000.0
Interest Expense,3644000.0,1256000.0,1000.0,29000.0
Interest Income,1398000.0,451000.0,162000.0,240000.0
Normalized Income,-41936150.0,-64861000.0,-51592000.0,-29368270.0
Net Income From Continuing And Discontinued Operation,-40289000.0,-53670000.0,-51588000.0,-29369000.0
Total Expenses,38413000.0,55957000.0,52492000.0,32554000.0
Total Operating Income As Reported,-35288000.0,-56375000.0,-51925000.0,-29485000.0
Diluted Average Shares,509400.0,282894.0,261269.0,204198.0
Basic Average Shares,509400.0,282894.0,261269.0,204198.0
Diluted EPS,-79.0,-189.75,-200.0,-143.75
Basic EPS,-79.0,-189.75,-200.0,-143.75
Diluted NI Availto Com Stockholders,-40289000.0,-53670000.0,-51588000.0,-29369000.0
Net Income Common Stockholders,-40289000.0,-53670000.0,-51588000.0,-29369000.0
Net Income,-40289000.0,-53670000.0,-51588000.0,-29369000.0
Net Income Including Noncontrolling Interests,-40289000.0,-53670000.0,-51588000.0,-29369000.0
Net Income Continuous Operations,-40289000.0,-53670000.0,-51588000.0,-29369000.0
Tax Provision,318000.0,0.0,0.0,300000.0
Pretax Income,-39971000.0,-53670000.0,-51588000.0,-29069000.0
Other Income Expense,-2437000.0,3510000.0,176000.0,205000.0
Other Non Operating Income Expenses,-4522000.0,-7681000.0,172000.0,206000.0
Special Income Charges,,,,0.0
Impairment Of Capital Assets,,,,0.0
Gain On Sale Of Security,2085000.0,11191000.0,4000.0,-1000.0
Net Non Operating Interest Income Expense,-2246000.0,-805000.0,161000.0,211000.0
Interest Expense Non Operating,3644000.0,1256000.0,1000.0,29000.0
Interest Income Non Operating,1398000.0,451000.0,162000.0,240000.0
Operating Income,-35288000.0,-56375000.0,-51925000.0,-29485000.0
Operating Expense,36743000.0,52939000.0,51538000.0,32372000.0
Research And Development,16333000.0,18211000.0,13426000.0,13124000.0
Selling General And Administration,20410000.0,34728000.0,38112000.0,19248000.0
General And Administrative Expense,,,38112000.0,19248000.0
Other Gand A,,,38112000.0,19248000.0
Gross Profit,1455000.0,-3436000.0,-387000.0,2887000.0
Cost Of Revenue,1670000.0,3018000.0,954000.0,182000.0
Total Revenue,3125000.0,-418000.0,567000.0,3069000.0
Operating Revenue,3125000.0,-418000.0,567000.0,3069000.0
