,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.0028,0.21,0.1263,
Normalized EBITDA,-20376000.0,-31436000.0,-22069000.0,-49170000.0,
Total Unusual Items,,,0.0,0.0,41271000.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0,41271000.0
Net Income From Continuing Operation Net Minority Interest,-18175000.0,-27871000.0,-36260000.0,-42921000.0,
Reconciled Depreciation,21000.0,9000.0,7000.0,4000.0,
Reconciled Cost Of Revenue,,,,,90101000.0
EBITDA,-20376000.0,-31436000.0,-22069000.0,-49170000.0,
EBIT,-20397000.0,-31445000.0,-22076000.0,-49174000.0,
Net Interest Income,2225000.0,3495000.0,1848000.0,48000.0,
Interest Income,2225000.0,3495000.0,1848000.0,48000.0,
Normalized Income,-18175000.0,-27871000.0,-36260000.0,-42921000.0,
Net Income From Continuing And Discontinued Operation,-18175000.0,-27871000.0,-36260000.0,-42921000.0,
Total Expenses,20402000.0,31452000.0,22124000.0,49209000.0,
Total Operating Income As Reported,-20397000.0,-31445000.0,-22076000.0,-49174000.0,
Diluted Average Shares,3596000.0,3579000.0,3565000.0,3557972.0,
Basic Average Shares,3596000.0,3579000.0,3565000.0,3557972.0,
Diluted EPS,-5.05,-7.79,-10.17,-12.0,
Basic EPS,-5.05,-7.79,-10.17,-12.0,
Diluted NI Availto Com Stockholders,-18175000.0,-27871000.0,-36260000.0,-42921000.0,
Net Income Common Stockholders,-18175000.0,-27871000.0,-36260000.0,-42921000.0,
Net Income,-18175000.0,-27871000.0,-36260000.0,-42921000.0,
Net Income Including Noncontrolling Interests,-18175000.0,-27871000.0,-36260000.0,-42921000.0,
Net Income Continuous Operations,-18175000.0,-27871000.0,-36260000.0,-42921000.0,
Tax Provision,3000.0,-79000.0,16032000.0,-6205000.0,
Pretax Income,-18172000.0,-27950000.0,-20228000.0,-49126000.0,
Other Income Expense,,,,,41271000.0
Special Income Charges,,,0.0,0.0,41271000.0
Other Special Charges,,,,,-41271000.0
Net Non Operating Interest Income Expense,2225000.0,3495000.0,1848000.0,48000.0,
Interest Income Non Operating,2225000.0,3495000.0,1848000.0,48000.0,
Operating Income,-20397000.0,-31445000.0,-22076000.0,-49174000.0,
Operating Expense,20402000.0,31452000.0,22124000.0,49209000.0,
Other Operating Expenses,,,-4000.0,-9083000.0,
Research And Development,6038000.0,9713000.0,6406000.0,5577000.0,
Selling General And Administration,14364000.0,21739000.0,15722000.0,52715000.0,
Gross Profit,,,,,212535000.0
Cost Of Revenue,,,,,90101000.0
Total Revenue,5000.0,7000.0,48000.0,35000.0,
Operating Revenue,5000.0,7000.0,48000.0,35000.0,
