,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-26220929.0,-30658870.0,-30782390.0,-39448247.0
Total Unusual Items,-17886547.0,-8823770.0,0.0,
Total Unusual Items Excluding Goodwill,-17886547.0,-8823770.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-45510309.0,-45071211.0,-34235405.0,-40125109.0
Reconciled Depreciation,759117.0,618981.0,1193470.0,585624.0
Reconciled Cost Of Revenue,18168288.0,11391040.0,13412820.0,10507454.0
EBITDA,-44107476.0,-39482640.0,-30782390.0,-39448247.0
EBIT,-44866593.0,-40101621.0,-31975860.0,-40033871.0
Net Interest Income,-643716.0,-4969590.0,-2259545.0,-91238.0
Interest Expense,643716.0,4969590.0,2259545.0,91238.0
Normalized Income,-27623762.0,-36247441.0,-34235405.0,-40125109.0
Net Income From Continuing And Discontinued Operation,-45510309.0,-45071211.0,-34235405.0,-40125109.0
Total Expenses,31051218.0,33053737.0,36610311.0,39628669.0
Total Operating Income As Reported,-27014027.0,-29792749.0,-32063625.0,-39179850.0
Diluted Average Shares,,1287.0,135.0,96.0
Basic Average Shares,,1287.0,135.0,96.0
Diluted EPS,,-35020.365967,-253595.592593,-417969.885417
Basic EPS,,-35020.365967,-253595.592593,-417969.885417
Diluted NI Availto Com Stockholders,-45510309.0,-45071211.0,-34235405.0,-40125109.0
Net Income Common Stockholders,-45510309.0,-45071211.0,-34235405.0,-40125109.0
Net Income,-45510309.0,-45071211.0,-34235405.0,-40125109.0
Net Income Including Noncontrolling Interests,-45510309.0,-45071211.0,-34235405.0,-40125109.0
Net Income Continuous Operations,-45510309.0,-45071211.0,-34235405.0,-40125109.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-45510309.0,-45071211.0,-34235405.0,-40125109.0
Other Income Expense,-17852566.0,-10308872.0,87765.0,-854022.0
Other Non Operating Income Expenses,33981.0,-1485102.0,87765.0,-854022.0
Special Income Charges,-3118162.0,-22296988.0,0.0,
Other Special Charges,3118162.0,22296988.0,,
Gain On Sale Of Security,-14768385.0,13473218.0,,
Net Non Operating Interest Income Expense,-643716.0,-4969590.0,-2259545.0,-91238.0
Interest Expense Non Operating,643716.0,4969590.0,2259545.0,91238.0
Operating Income,-27014027.0,-29792749.0,-32063625.0,-39179850.0
Operating Expense,12882930.0,21662697.0,23197491.0,29121215.0
Research And Development,2668330.0,7868985.0,8456157.0,10465186.0
Selling General And Administration,10214600.0,13793712.0,14741334.0,18656029.0
Selling And Marketing Expense,2548953.0,7405705.0,5694556.0,2872620.0
General And Administrative Expense,7665647.0,6388007.0,9046778.0,15783409.0
Other Gand A,7665647.0,6388007.0,9046778.0,15783409.0
Gross Profit,-14131097.0,-8130052.0,-8866134.0,-10058635.0
Cost Of Revenue,18168288.0,11391040.0,13412820.0,10507454.0
Total Revenue,4037191.0,3260988.0,4546686.0,448819.0
Operating Revenue,4037191.0,3260988.0,4546686.0,448819.0
