,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-10590000.0,-20453000.0,-25649000.0,-18630000.0,
Total Unusual Items,,3778000.0,1287000.0,-911000.0,-3331000.0
Total Unusual Items Excluding Goodwill,,3778000.0,1287000.0,-911000.0,-3331000.0
Net Income From Continuing Operation Net Minority Interest,-11136000.0,-13583000.0,-23845000.0,-20288000.0,
Reconciled Depreciation,581000.0,621000.0,669000.0,733000.0,
Reconciled Cost Of Revenue,6012000.0,5530000.0,6005000.0,4281000.0,
EBITDA,-10590000.0,-16675000.0,-24362000.0,-19541000.0,
EBIT,-11171000.0,-17296000.0,-25031000.0,-20274000.0,
Net Interest Income,,,0.0,-14000.0,-17000.0
Interest Expense,,,0.0,14000.0,96000.0
Interest Income,,,,117000.0,79000.0
Normalized Income,-11136000.0,-17361000.0,-25132000.0,-19377000.0,
Net Income From Continuing And Discontinued Operation,-11136000.0,-13583000.0,-23845000.0,-20288000.0,
Total Expenses,26202000.0,31097000.0,41055000.0,36356000.0,
Total Operating Income As Reported,-11171000.0,-17296000.0,-25031000.0,-20382000.0,
Diluted Average Shares,,1219381.0,920592.0,849339.0,514760.0
Basic Average Shares,,1219381.0,920592.0,849339.0,514760.0
Diluted EPS,,-11.14,-25.9,-24.0,-35.0
Basic EPS,,-11.14,-25.9,-24.0,-35.0
Diluted NI Availto Com Stockholders,-11136000.0,-13583000.0,-23845000.0,-20288000.0,
Net Income Common Stockholders,-11136000.0,-13583000.0,-23845000.0,-20288000.0,
Otherunder Preferred Stock Dividend,,,,0.0,5931000.0
Net Income,-11136000.0,-13583000.0,-23845000.0,-20288000.0,
Net Income Including Noncontrolling Interests,-11136000.0,-13583000.0,-23845000.0,-20288000.0,
Net Income Continuous Operations,-11136000.0,-13583000.0,-23845000.0,-20288000.0,
Tax Provision,,,0.0,0.0,0.0
Pretax Income,-11136000.0,-13583000.0,-23845000.0,-20288000.0,
Other Income Expense,35000.0,3713000.0,1186000.0,-803000.0,
Other Non Operating Income Expenses,35000.0,-65000.0,-101000.0,108000.0,
Special Income Charges,,0.0,1287000.0,-911000.0,-3331000.0
Gain On Sale Of Business,,,,,0.0
Other Special Charges,,,-1287000.0,,3331000.0
Write Off,,,0.0,911000.0,
Gain On Sale Of Security,,3778000.0,,,
Net Non Operating Interest Income Expense,,,0.0,-14000.0,-17000.0
Interest Expense Non Operating,,,0.0,14000.0,96000.0
Interest Income Non Operating,,,,117000.0,79000.0
Operating Income,-11171000.0,-17296000.0,-25031000.0,-19471000.0,
Operating Expense,20190000.0,25567000.0,35050000.0,32075000.0,
Depreciation Amortization Depletion Income Statement,581000.0,621000.0,669000.0,733000.0,
Depreciation And Amortization In Income Statement,581000.0,621000.0,669000.0,733000.0,
Selling General And Administration,19609000.0,24946000.0,34381000.0,31342000.0,
Selling And Marketing Expense,1731000.0,2467000.0,5340000.0,5551000.0,
General And Administrative Expense,17878000.0,22479000.0,29041000.0,25791000.0,
Other Gand A,17878000.0,22479000.0,29041000.0,25791000.0,
Gross Profit,9019000.0,8271000.0,10019000.0,12604000.0,
Cost Of Revenue,6012000.0,5530000.0,6005000.0,4281000.0,
Total Revenue,15031000.0,13801000.0,16024000.0,16885000.0,
Operating Revenue,15031000.0,13801000.0,16024000.0,16885000.0,
