,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2094444.0,631.55159,1082795.559452,213455.929501,
Tax Rate For Calcs,0.258,0.070172,0.176495,0.100732,
Normalized EBITDA,-39217000.0,-20196000.0,-44874000.0,29797147.832635,
Total Unusual Items,-8118000.0,9000.0,6135000.0,2119044.257228,
Total Unusual Items Excluding Goodwill,-8118000.0,9000.0,6135000.0,2119044.257228,
Net Income From Continuing Operation Net Minority Interest,-75733000.0,-31020000.0,-43243000.0,21619208.986367,
Reconciled Depreciation,5017000.0,7690000.0,8711000.0,8139815.817135,
Reconciled Cost Of Revenue,112369000.0,260502000.0,494784000.0,775712178.974287,
EBITDA,-47335000.0,-20187000.0,-38739000.0,31916192.089864,
EBIT,-52352000.0,-27877000.0,-47450000.0,23776376.272729,
Net Interest Income,-1880000.0,-3663000.0,-6626000.0,-4423840.228424,
Interest Expense,5552000.0,6752000.0,8444000.0,7041621.56226,
Interest Income,3672000.0,3089000.0,1818000.0,2617781.333835,
Normalized Income,-69709444.0,-31028368.44841,-48295204.440548,19713620.658639,
Net Income From Continuing And Discontinued Operation,-75733000.0,-31020000.0,-43243000.0,21619208.986367,
Total Expenses,229853000.0,383310000.0,675498000.0,965809604.493183,
Total Operating Income As Reported,-47250000.0,-30450000.0,-61857000.0,14738080.670212,
Diluted Average Shares,16179758.0,15195998.0,15392708.0,16523039.0,
Basic Average Shares,16179758.0,15195998.0,15392708.0,15760476.0,
Diluted EPS,-4.64,-2.08,-2.88,1.305282,
Basic EPS,-4.64,-2.08,-2.88,1.380587,
Diluted NI Availto Com Stockholders,-75733000.0,-31020000.0,-43243000.0,21619208.986367,
Average Dilution Earnings,,,,0.0,0.0
Net Income Common Stockholders,-75733000.0,-31020000.0,-43243000.0,21619208.986367,
Otherunder Preferred Stock Dividend,,,,0.0,0.0
Net Income,-75733000.0,-31020000.0,-43243000.0,21619208.986367,
Minority Interests,75000.0,66000.0,103000.0,133509.044414,
Net Income Including Noncontrolling Interests,-75808000.0,-31086000.0,-43346000.0,21485699.941953,
Net Income Continuous Operations,-75808000.0,-31086000.0,-43346000.0,21485699.941953,
Earnings From Equity Interest Net Of Tax,-4211000.0,1113000.0,2683000.0,6436673.412717,
Tax Provision,13693000.0,-2430000.0,-9865000.0,1685728.181233,
Pretax Income,-57904000.0,-34629000.0,-55894000.0,16734754.710469,
Other Income Expense,-8774000.0,-516000.0,12589000.0,6420514.268681,
Other Non Operating Income Expenses,-656000.0,-525000.0,6454000.0,4301470.011453,
Special Income Charges,-10129000.0,-313000.0,-2000000.0,0.0,
Gain On Sale Of Business,,,0.0,0.0,8651370.670259
Write Off,10129000.0,313000.0,2000000.0,0.0,
Gain On Sale Of Security,2011000.0,322000.0,8135000.0,2119044.257228,
Net Non Operating Interest Income Expense,-1880000.0,-3663000.0,-6626000.0,-4423840.228424,
Interest Expense Non Operating,5552000.0,6752000.0,8444000.0,7041621.56226,
Interest Income Non Operating,3672000.0,3089000.0,1818000.0,2617781.333835,
Operating Income,-47250000.0,-30450000.0,-61857000.0,14738080.670212,
Operating Expense,117484000.0,122808000.0,180714000.0,190097425.518897,
Research And Development,46159000.0,51503000.0,77296000.0,80808427.856482,
Selling General And Administration,71325000.0,71305000.0,103418000.0,109288997.662415,
Selling And Marketing Expense,46471000.0,44527000.0,68309000.0,68758412.952417,
General And Administrative Expense,24854000.0,26778000.0,35109000.0,40530584.709998,
Other Gand A,24854000.0,26778000.0,35109000.0,40530584.709998,
Gross Profit,70234000.0,92358000.0,118857000.0,204835506.189109,
Cost Of Revenue,112369000.0,260502000.0,494784000.0,775712178.974287,
Total Revenue,182603000.0,352860000.0,613641000.0,980547685.163396,
Operating Revenue,182603000.0,352860000.0,613641000.0,980547685.163396,
