,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,
Normalized EBITDA,-13361897.0,-7263012.0,-8731974.0,-8645119.0,
Total Unusual Items,,,0.0,122520.0,0.0
Total Unusual Items Excluding Goodwill,,,0.0,122520.0,0.0
Net Income From Continuing Operation Net Minority Interest,-13384836.0,-7777184.0,-8745293.0,-8755881.0,
Reconciled Cost Of Revenue,108268.0,16040.0,0.0,,
EBITDA,-13361897.0,-7263012.0,-8731974.0,-8522599.0,
EBIT,-13361897.0,-7263012.0,-8731974.0,-8522599.0,
Net Interest Income,-22939.0,-514172.0,-13319.0,-233282.0,
Interest Expense,22939.0,514172.0,13319.0,233282.0,
Normalized Income,-13384836.0,-7777184.0,-8745293.0,-8878401.0,
Net Income From Continuing And Discontinued Operation,-13384836.0,-7777184.0,-8745293.0,-8755881.0,
Total Expenses,13519117.0,7290662.0,8731974.0,8645119.0,
Total Operating Income As Reported,-13361897.0,-7263012.0,-8731974.0,-8645119.0,
Diluted Average Shares,3167153.0,1690009.0,1569943.0,1271511.0,
Basic Average Shares,3167153.0,1690009.0,1569943.0,1271511.0,
Diluted EPS,-4.23,-4.6,-5.57,-6.9,
Basic EPS,-4.23,-4.6,-5.57,-6.9,
Diluted NI Availto Com Stockholders,-13384836.0,-7777184.0,-8745293.0,-8755881.0,
Net Income Common Stockholders,-13384836.0,-7777184.0,-8745293.0,-8755881.0,
Net Income,-13384836.0,-7777184.0,-8745293.0,-8755881.0,
Net Income Including Noncontrolling Interests,-13384836.0,-7777184.0,-8745293.0,-8755881.0,
Net Income Continuous Operations,-13384836.0,-7777184.0,-8745293.0,-8755881.0,
Pretax Income,-13384836.0,-7777184.0,-8745293.0,-8755881.0,
Other Income Expense,,,,122520.0,
Special Income Charges,,,0.0,122520.0,0.0
Other Special Charges,,,,-122520.0,
Net Non Operating Interest Income Expense,-22939.0,-514172.0,-13319.0,-233282.0,
Interest Expense Non Operating,22939.0,514172.0,13319.0,233282.0,
Operating Income,-13361897.0,-7263012.0,-8731974.0,-8645119.0,
Operating Expense,13410849.0,7274622.0,8731974.0,8645119.0,
Research And Development,3134935.0,1377028.0,2240270.0,1950500.0,
Selling General And Administration,10275914.0,5897594.0,6491704.0,6694619.0,
General And Administrative Expense,10275914.0,5897594.0,6491704.0,6694619.0,
Other Gand A,10275914.0,5897594.0,6491704.0,6694619.0,
Gross Profit,48952.0,11610.0,0.0,,
Cost Of Revenue,108268.0,16040.0,0.0,,
Total Revenue,157220.0,27650.0,0.0,0.0,
Operating Revenue,157220.0,27650.0,0.0,0.0,
