,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,92050111.2,4876830.0,-147214067.0,-41368860.0
Tax Rate For Calcs,0.1236,0.21,0.1435,0.27
Normalized EBITDA,2406065000.0,122340000.0,-1795730000.0,3272976000.0
Total Unusual Items,744742000.0,23223000.0,-1025882000.0,-153218000.0
Total Unusual Items Excluding Goodwill,744742000.0,23223000.0,-1025882000.0,-153218000.0
Net Income From Continuing Operation Net Minority Interest,2579066000.0,94871000.0,-2624949000.0,3624120000.0
Reconciled Depreciation,127518000.0,139642000.0,154069000.0,63651000.0
Reconciled Cost Of Revenue,1657547000.0,1135550000.0,629880000.0,1738544000.0
EBITDA,3150807000.0,145563000.0,-2821612000.0,3119758000.0
EBIT,3023289000.0,5921000.0,-2975681000.0,3056107000.0
Net Interest Income,-80645000.0,-82766000.0,-88901000.0,-29160000.0
Interest Expense,80645000.0,82766000.0,88901000.0,29160000.0
Normalized Income,1926374111.2,76524830.0,-1746281067.0,3735969140.0
Net Income From Continuing And Discontinued Operation,2579066000.0,94871000.0,-2624949000.0,3624120000.0
Total Expenses,4328593000.0,3162126000.0,5141502000.0,4631043000.0
Total Operating Income As Reported,2307160000.0,-161662000.0,-2710208000.0,3076570000.0
Diluted Average Shares,273377000.0,254391000.0,222338000.0,219965000.0
Basic Average Shares,247374000.0,235796000.0,222314000.0,177319000.0
Diluted EPS,9.48,0.37,-11.83,14.5
Basic EPS,10.42,0.4,-11.81,17.47
Diluted NI Availto Com Stockholders,2591248000.0,94751000.0,-2631179000.0,3190404000.0
Average Dilution Earnings,13493000.0,-1000.0,-6230000.0,93446000.0
Net Income Common Stockholders,2577755000.0,94752000.0,-2624949000.0,3096958000.0
Otherunder Preferred Stock Dividend,1311000.0,119000.0,0.0,527162000.0
Net Income,2579066000.0,94871000.0,-2624949000.0,3624120000.0
Net Income Including Noncontrolling Interests,2579066000.0,94871000.0,-2624949000.0,3624120000.0
Net Income Continuous Operations,2579066000.0,94871000.0,-2624949000.0,3624120000.0
Tax Provision,363578000.0,-171716000.0,-439633000.0,-597173000.0
Pretax Income,2942644000.0,-76845000.0,-3064582000.0,3026947000.0
Other Income Expense,787854000.0,59664000.0,-1028387000.0,-152294000.0
Other Non Operating Income Expenses,43112000.0,36441000.0,-2505000.0,924000.0
Special Income Charges,0.0,9464000.0,-762914000.0,-153160000.0
Other Special Charges,,-117383000.0,,
Impairment Of Capital Assets,0.0,-34675000.0,722211000.0,153160000.0
Restructuring And Mergern Acquisition,0.0,142594000.0,40703000.0,0.0
Gain On Sale Of Security,744742000.0,13759000.0,-262968000.0,-58000.0
Net Non Operating Interest Income Expense,-80645000.0,-82766000.0,-88901000.0,-29160000.0
Interest Expense Non Operating,80645000.0,82766000.0,88901000.0,29160000.0
Operating Income,2235435000.0,-53743000.0,-1947294000.0,3208401000.0
Operating Expense,2671046000.0,2026576000.0,4511622000.0,2892499000.0
Other Operating Expenses,7933000.0,10260000.0,74593000.0,498477000.0
Research And Development,1468252000.0,1324541000.0,2326354000.0,1291561000.0
Selling General And Administration,1194861000.0,691775000.0,2110675000.0,1102461000.0
Selling And Marketing Expense,503390000.0,188550000.0,510089000.0,577134000.0
General And Administrative Expense,691471000.0,503225000.0,1600586000.0,525327000.0
Other Gand A,691471000.0,503225000.0,1600586000.0,525327000.0
Salaries And Wages,,642388000.0,760818000.0,470620000.0
Gross Profit,4906481000.0,1972833000.0,2564328000.0,6100900000.0
Cost Of Revenue,1657547000.0,1135550000.0,629880000.0,1738544000.0
Total Revenue,6564028000.0,3108383000.0,3194208000.0,7839444000.0
Operating Revenue,6293246000.0,2926540000.0,3148815000.0,7354753000.0
