Date,Dividends
2006-12-21 00:00:00-05:00,0.115
2007-12-24 00:00:00-05:00,0.745
2009-12-23 00:00:00-05:00,0.111
2010-12-23 00:00:00-05:00,0.401
2011-12-23 00:00:00-05:00,0.15
2012-12-24 00:00:00-05:00,0.462
2013-12-23 00:00:00-05:00,0.191
2014-12-22 00:00:00-05:00,0.121
2015-12-21 00:00:00-05:00,0.116
2016-12-19 00:00:00-05:00,0.055
2017-12-18 00:00:00-05:00,0.176
2018-12-20 00:00:00-05:00,0.105
2019-12-23 00:00:00-05:00,0.191
2020-12-21 00:00:00-05:00,0.19
2021-12-20 00:00:00-05:00,0.535
2022-12-19 00:00:00-05:00,0.476
2023-12-18 00:00:00-05:00,0.5
2024-12-23 00:00:00-05:00,0.403
