Date,Dividends
2016-06-20 00:00:00-04:00,0.07
2016-09-13 00:00:00-04:00,0.12
2016-12-28 00:00:00-05:00,0.134
2017-12-26 00:00:00-05:00,0.004
2018-12-24 00:00:00-05:00,0.03
2019-06-28 00:00:00-04:00,0.02
2019-12-30 00:00:00-05:00,0.04
2020-03-17 00:00:00-04:00,0.58
2020-06-15 00:00:00-04:00,0.02
2020-12-14 00:00:00-05:00,0.04
2021-06-22 00:00:00-04:00,0.02
2021-09-21 00:00:00-04:00,0.12
2021-12-28 00:00:00-05:00,0.017
2022-03-23 00:00:00-04:00,0.025
2022-06-22 00:00:00-04:00,0.02
2022-12-28 00:00:00-05:00,0.059
2023-06-21 00:00:00-04:00,0.03
2023-09-20 00:00:00-04:00,0.01
2023-12-27 00:00:00-05:00,0.084
2024-06-27 00:00:00-04:00,0.026
2024-09-27 00:00:00-04:00,0.023
2024-12-30 00:00:00-05:00,0.054
