,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-719679615.0,-14944650.0,-270120060.0,-282411140.0,
Tax Rate For Calcs,0.397,0.21,0.21,0.34,
Normalized EBITDA,-41802000.0,10127000.0,27831000.0,59739000.0,
Total Unusual Items,-1812795000.0,-71165000.0,-1286286000.0,-830621000.0,
Total Unusual Items Excluding Goodwill,-1812795000.0,-71165000.0,-1286286000.0,-830621000.0,
Net Income From Continuing Operation Net Minority Interest,-1166661000.0,429121000.0,-1469797000.0,-535480000.0,
Reconciled Depreciation,17808000.0,14527000.0,10874000.0,11358000.0,
Reconciled Cost Of Revenue,129468000.0,109944000.0,102989000.0,91909000.0,
EBITDA,-1854597000.0,-61038000.0,-1258455000.0,-770882000.0,
EBIT,-1872405000.0,-75565000.0,-1269329000.0,-782240000.0,
Net Interest Income,-61941000.0,-48960000.0,-53136000.0,-29149000.0,
Interest Expense,61941000.0,48960000.0,53136000.0,29149000.0,
Interest Income,,,,,710000.0
Normalized Income,-73545615.0,485341350.0,-453631060.0,12729860.0,
Net Income From Continuing And Discontinued Operation,-1166661000.0,429121000.0,-1469797000.0,-535480000.0,
Total Expenses,526572000.0,495457000.0,488720000.0,464668000.0,
Total Operating Income As Reported,-1852978000.0,-115047000.0,-1275742000.0,-784527000.0,
Diluted Average Shares,192549000.0,165660000.0,113210000.0,100200000.0,
Basic Average Shares,192549000.0,136710000.0,113210000.0,100200000.0,
Diluted EPS,-6.06,2.642,-12.983,-5.344,
Basic EPS,-6.06,3.139,-12.983,-5.344,
Diluted NI Availto Com Stockholders,-1166661000.0,437643000.0,-1469797000.0,-535480000.0,
Average Dilution Earnings,0.0,8522000.0,0.0,0.0,
Net Income Common Stockholders,-1166661000.0,429121000.0,-1469797000.0,-535480000.0,
Net Income,-1166661000.0,429121000.0,-1469797000.0,-535480000.0,
Net Income Including Noncontrolling Interests,-1166661000.0,429121000.0,-1469797000.0,-535480000.0,
Net Income Continuous Operations,-1166661000.0,429121000.0,-1469797000.0,-535480000.0,
Tax Provision,-767685000.0,-553646000.0,147332000.0,-275909000.0,
Pretax Income,-1934346000.0,-124525000.0,-1322465000.0,-811389000.0,
Other Income Expense,-1809289000.0,-76369000.0,-1279873000.0,-828334000.0,
Other Non Operating Income Expenses,3506000.0,-5204000.0,6413000.0,2287000.0,
Special Income Charges,-1812795000.0,-71165000.0,-1286286000.0,-830621000.0,
Other Special Charges,22933000.0,-44686000.0,,,
Impairment Of Capital Assets,1789862000.0,115851000.0,1286286000.0,830621000.0,
Net Non Operating Interest Income Expense,-61941000.0,-48960000.0,-53136000.0,-29149000.0,
Total Other Finance Cost,,,53136000.0,29149000.0,-710000.0
Interest Expense Non Operating,61941000.0,48960000.0,53136000.0,29149000.0,
Interest Income Non Operating,,,,,710000.0
Operating Income,-63116000.0,804000.0,10544000.0,46094000.0,
Operating Expense,397104000.0,385513000.0,385731000.0,372759000.0,
Research And Development,118486000.0,120530000.0,127428000.0,117117000.0,
Selling General And Administration,278618000.0,264983000.0,258303000.0,255642000.0,
Selling And Marketing Expense,138081000.0,149671000.0,146882000.0,160141000.0,
General And Administrative Expense,140537000.0,115312000.0,111421000.0,95501000.0,
Other Gand A,140537000.0,115312000.0,111421000.0,95501000.0,
Gross Profit,333988000.0,386317000.0,396275000.0,418853000.0,
Cost Of Revenue,129468000.0,109944000.0,102989000.0,91909000.0,
Total Revenue,463456000.0,496261000.0,499264000.0,510762000.0,
Operating Revenue,399148000.0,420418000.0,413765000.0,426082000.0,
