Date,Dividends
2010-12-29 00:00:00-05:00,2.334
2012-12-27 00:00:00-05:00,0.744
2013-12-27 00:00:00-05:00,0.166
2014-12-29 00:00:00-05:00,0.972
2015-12-29 00:00:00-05:00,0.274
2016-12-28 00:00:00-05:00,0.937
2017-12-28 00:00:00-05:00,0.306
2018-12-28 00:00:00-05:00,0.052
2019-06-27 00:00:00-04:00,0.104
2019-12-30 00:00:00-05:00,0.08
2020-06-29 00:00:00-04:00,0.156
2020-12-30 00:00:00-05:00,0.103
2021-06-29 00:00:00-04:00,0.025
2021-12-30 00:00:00-05:00,1.309
2022-06-29 00:00:00-04:00,0.103
2022-12-29 00:00:00-05:00,0.049
2023-12-28 00:00:00-05:00,1.682
2024-06-27 00:00:00-04:00,0.025
2024-12-30 00:00:00-05:00,0.741
