Date,Dividends
2006-09-15 00:00:00-04:00,0.028
2006-12-15 00:00:00-05:00,0.132
2007-03-16 00:00:00-04:00,0.092
2007-06-15 00:00:00-04:00,0.128
2007-09-21 00:00:00-04:00,0.084
2007-12-21 00:00:00-05:00,0.132
2008-03-20 00:00:00-04:00,0.12
2008-06-20 00:00:00-04:00,0.216
2008-09-19 00:00:00-04:00,0.252
2008-12-19 00:00:00-05:00,0.332
2009-03-20 00:00:00-04:00,0.236
2009-06-19 00:00:00-04:00,0.292
2009-09-18 00:00:00-04:00,0.3
2009-12-18 00:00:00-05:00,0.3
2010-03-19 00:00:00-04:00,0.108
2010-06-18 00:00:00-04:00,0.22
2010-09-17 00:00:00-04:00,0.172
2010-12-17 00:00:00-05:00,0.292
2011-03-18 00:00:00-04:00,1.296
2011-06-17 00:00:00-04:00,0.148
2011-09-16 00:00:00-04:00,0.292
2011-12-16 00:00:00-05:00,0.62
2012-03-16 00:00:00-04:00,0.456
2012-06-15 00:00:00-04:00,0.428
2012-09-21 00:00:00-04:00,0.452
2012-12-21 00:00:00-05:00,1.284
2013-03-15 00:00:00-04:00,0.692
2013-06-21 00:00:00-04:00,0.792
2013-09-20 00:00:00-04:00,0.476
2013-12-20 00:00:00-05:00,0.336
2014-03-21 00:00:00-04:00,0.544
2014-06-20 00:00:00-04:00,0.648
2014-09-19 00:00:00-04:00,0.668
2014-12-19 00:00:00-05:00,0.832
2015-03-20 00:00:00-04:00,0.624
2015-06-19 00:00:00-04:00,0.74
2015-09-18 00:00:00-04:00,0.732
2015-12-18 00:00:00-05:00,0.572
2016-03-18 00:00:00-04:00,0.344
2016-06-17 00:00:00-04:00,0.292
2016-09-16 00:00:00-04:00,0.324
2016-12-16 00:00:00-05:00,0.3
2017-03-17 00:00:00-04:00,0.296
2017-06-16 00:00:00-04:00,0.296
2017-09-15 00:00:00-04:00,0.284
2017-12-15 00:00:00-05:00,0.26
2018-03-16 00:00:00-04:00,0.26
2018-06-15 00:00:00-04:00,0.284
2018-09-21 00:00:00-04:00,0.244
2018-12-21 00:00:00-05:00,0.264
2019-03-15 00:00:00-04:00,0.292
2019-06-21 00:00:00-04:00,0.368
2019-09-20 00:00:00-04:00,0.332
2019-12-20 00:00:00-05:00,0.4
2020-03-23 00:00:00-04:00,0.38
2020-06-22 00:00:00-04:00,0.311
2020-09-21 00:00:00-04:00,0.378
2020-12-21 00:00:00-05:00,0.301
2021-03-22 00:00:00-04:00,0.361
2021-06-21 00:00:00-04:00,0.348
2021-09-20 00:00:00-04:00,0.345
2021-12-20 00:00:00-05:00,0.488
2022-03-21 00:00:00-04:00,0.481
2022-06-21 00:00:00-04:00,0.767
2022-09-19 00:00:00-04:00,1.155
2022-12-19 00:00:00-05:00,0.95
2023-03-20 00:00:00-04:00,0.954
2023-06-20 00:00:00-04:00,0.832
2023-09-18 00:00:00-04:00,0.772
2023-12-18 00:00:00-05:00,1.036
2024-03-18 00:00:00-04:00,0.76
2024-06-24 00:00:00-04:00,0.777
2024-09-23 00:00:00-04:00,0.896
2024-12-23 00:00:00-05:00,0.808
2025-03-24 00:00:00-04:00,0.761
2025-06-23 00:00:00-04:00,0.752
